iris,taux_pauvrete_pre,com
211660107,25.121116687494048,21166
212310101,21.324155723730087,21231
212310102,15.757093523980956,21231
212310103,11.839003377883301,21231
212310201,11.94179506507911,21231
212310202,14.822523701616339,21231
212310301,12.017452711775226,21231
212310302,11.421305423362949,21231
212310303,17.723004706632732,21231
212310304,,21231
212310305,12.981040155775872,21231
212310401,17.525244342863918,21231
212310402,12.158432512089748,21231
212310403,9.776694493820806,21231
212310404,12.113698129149386,21231
212310501,13.881278538812786,21231
212310502,14.04431361141088,21231
212310503,10.118685151088071,21231
212310701,14.69756811809117,21231
212310702,,21231
212310703,17.769529633639166,21231
212310704,13.932677529876102,21231
212310801,12.7465410656462,21231
212310802,15.063024822759607,21231
212310803,,21231
212310804,14.438771428446733,21231
212310901,13.854271759221737,21231
212311001,12.178719910541842,21231
212311002,,21231
212311003,9.525346542844908,21231
212311004,9.330459580483048,21231
212311005,,21231
212311006,11.937815964595478,21231
212311101,,21231
212311201,14.107368371770697,21231
212311202,43.29649004804969,21231
212311203,47.46747710872507,21231
212311204,,21231
212311301,,21231
212311302,16.118427578236112,21231
212311303,,21231
212311401,9.141135311446726,21231
212311402,8.51063829787234,21231
212311501,9.41423545984484,21231
212311502,,21231
212311503,,21231
212311601,10.611167656350872,21231
212311602,,21231
212311603,,21231
212311604,11.087582704309412,21231
212311701,13.612525202299112,21231
212311702,11.14011774330485,21231
212311703,11.17905554687358,21231
212311704,10.57827764159937,21231
212311801,19.28909945496018,21231
212311802,36.865446297768024,21231
212312001,,21231
212312002,,21231
212312003,,21231
212319801,,21231
216170101,,21617
216170102,,21617
216170103,21.59845041607088,21617
216170104,29.954009716174653,21617
216170105,24.9034808715254,21617
216170106,,21617
220500103,31.7794352690464,22050
220500104,12.459966527857455,22050
220500106,20.643698317860483,22050
220500107,8.491101331732636,22050
221130101,6.870229007633588,22113
221130102,17.828702512634532,22113
221130103,18.9124893797791,22113
221130104,13.235690675437754,22113
221130105,,22113
221130106,7.933487046827085,22113
222780101,15.223695651519057,22278
222780102,,22278
222780104,12.637685442264385,22278
222780105,21.209422596959623,22278
222780106,13.837814944613799,22278
222780107,14.324290901519271,22278
222780108,17.219365854674702,22278
222780109,,22278
222780110,,22278
222780112,43.709247390957415,22278
222780113,17.373736813327273,22278
222780114,11.077339970306616,22278
222780115,13.337149145829693,22278
222780116,41.2451361867704,22278
222780118,26.123456386075432,22278
222780119,34.03736012546321,22278
222780120,,22278
230960101,13.282739545189274,23096
230960102,29.543037961338722,23096
230960103,9.148083818915286,23096
230960201,23.712559787709555,23096
230960202,14.744798206415526,23096
240370101,16.537874638606922,24037
240370102,21.49384830987405,24037
240370103,25.52784558870356,24037
240370105,21.377858483926204,24037
240370106,13.894584784378376,24037
240370107,15.170789076374476,24037
240370108,24.61328480436761,24037
240370109,11.22729418524069,24037
240370110,35.59949184900021,24037
240370111,15.04993320782671,24037
240370112,25.374645630702783,24037
240370113,22.68034703694538,24037
250310101,25.963556745818522,25031
250310102,28.936619460338633,25031
250310103,28.79755325924325,25031
250310104,14.74178937883371,25031
250310107,19.020087833037728,25031
250560101,14.234906460472615,25056
250560102,12.017773378943703,25056
250560103,17.093520069091202,25056
250560104,18.234986992557147,25056
250560201,9.796301836000618,25056
250560301,,25056
250560302,10.432569974554708,25056
250560303,,25056
250560304,10.3291175564786,25056
250560401,26.07087909955594,25056
250560402,26.622276614754686,25056
250560501,8.432765271819711,25056
