iris,com,libcom,taux_pauvrete,revenu_median,annee
060882705,06088,Nice,11.5539537841849,28712.0,2012
060882801,06088,Nice,27.2905119008803,15866.0,2012
060882802,06088,Nice,7.83922107102734,22658.0,2012
060882803,06088,Nice,10.9007697108384,20975.7142857143,2012
060882804,06088,Nice,8.31197950032031,25133.8888888889,2012
060882805,06088,Nice,7.54970847660338,26392.0,2012
060882901,06088,Nice,43.8958097395244,13170.0,2012
060882902,06088,Nice,42.7086075282969,12625.0,2012
060882903,06088,Nice,46.4158504007124,12243.2,2012
060882904,06088,Nice,19.5596158350902,17034.0,2012
060882905,06088,Nice,14.7440434064638,18841.0,2012
060882906,06088,Nice,8.08398082327657,21610.0,2012
060883002,06088,Nice,29.3425975414217,15349.2,2012
060883003,06088,Nice,29.8374128997677,15628.4444444444,2012
060883101,06088,Nice,7.79130916136175,23997.0,2012
060883102,06088,Nice,10.2387058591438,21668.6666666667,2012
060883201,06088,Nice,10.2795311091073,24759.3681318681,2012
060883202,06088,Nice,,26497.0,2012
