code_qpv,iris_controle,distance_score,niveau
QP034012,341720402,0.9996414865312921,commune
QP034012,341720401,0.9996621948343078,commune
QP034018,343010103,0.999889380026288,commune
QP034018,343010104,0.9998995356193726,commune
QP034018,343011201,0.9999042533929248,commune
QP034018,343010402,0.9999106672144397,commune
QP034018,343010102,0.999918466838922,commune
QP034019,340030101,0.9998025624055468,commune
QP034019,340030102,0.9998970244190938,commune
QP034019,340030104,0.9999359099003707,commune
QP034019,340030106,0.9999359755313731,commune
QP034019,340030103,0.9999372171763287,commune
QP034021,341450101,0.9997963374165107,commune
QP034021,341450103,0.9999058049394978,commune
QP034021,341450102,0.9999152012538117,commune
QP034021,341450106,0.9999157462749967,commune
QP034021,341450109,0.9999372889476754,commune
QP035002,352381006,0.9996541481246126,commune
QP035002,352380502,0.9997045105815595,commune
QP035002,352381105,0.9997173964626337,commune
QP035002,352381104,0.9997377745910976,commune
QP035002,352381106,0.9997750478648161,commune
QP035003,352381006,0.9996544978204304,commune
QP035003,352380502,0.9997048602773773,commune
QP035003,352381105,0.9997177461584514,commune
QP035003,352381104,0.9997381242869153,commune
QP035003,352381106,0.9997753975606338,commune
QP035004,352381006,0.9996544513415673,commune
QP035004,352380502,0.9997048137985142,commune
QP035004,352381105,0.9997176996795883,commune
QP035004,352381104,0.9997380778080522,commune
QP035004,352381106,0.9997753510817707,commune
QP035005,352381006,0.9996543785513515,commune
QP035005,352380502,0.9997047410082984,commune
QP035005,352381105,0.9997176268893726,commune
QP035005,352381104,0.9997380050178365,commune
QP035005,352381106,0.999775278291555,commune
QP035006,352381006,0.9996544501793339,commune
QP035006,352380502,0.9997048126362807,commune
QP035006,352381105,0.9997176985173549,commune
QP035006,352381104,0.9997380766458188,commune
QP035006,352381106,0.9997753499195373,commune
QP036001,360440501,0.9998129215941713,commune
QP036001,360440901,0.999942468322047,commune
QP036001,360441201,0.9999485842715496,commune
QP036001,360440701,0.9999495303331798,commune
QP036001,360440401,0.9999510133143324,commune
QP036002,360440501,0.9998130988784868,commune
QP036002,360440901,0.9999426456063625,commune
QP036002,360441201,0.9999487615558651,commune
QP036002,360440701,0.9999497076174952,commune
QP036002,360440401,0.9999511905986479,commune
QP036003,360440501,0.9998128901505661,commune
QP036003,360440901,0.9999424368784418,commune
QP036003,360441201,0.9999485528279444,commune
QP036003,360440701,0.9999494988895745,commune
QP036003,360440401,0.9999509818707272,commune
QP037001,370030104,0.9999344002999593,commune
QP037001,370030102,0.9999567254345284,commune
QP037001,370030101,0.999962009784095,commune
QP037001,370030105,0.9999661766720418,commune
QP037002,371220201,0.9999224700849402,commune
QP037002,371220101,0.9999360595356338,commune
QP037002,371220902,0.9999562531192342,commune
QP037002,371220701,0.9999610930312196,commune
QP037002,371220102,0.9999627220867837,commune
QP037003,371950102,0.9999527778847938,commune
QP037004,372330104,0.9997343443219536,commune
QP037004,372330102,0.9999267741032176,commune
QP037004,372330107,0.999946430078758,commune
QP037004,372330106,0.9999599378622481,commune
QP037004,372330101,0.9999637421431478,commune
QP037005,372611403,0.9998927151296202,commune
QP037005,372610601,0.9999093243722718,commune
QP037005,372612001,0.999915907946684,commune
QP037005,372610602,0.9999211540543511,commune
QP037005,372610402,0.9999269696908355,commune
QP037006,372611403,0.9998926311295578,commune
QP037006,372610601,0.9999092403722094,commune
QP037006,372612001,0.9999158239466216,commune
QP037006,372610602,0.9999210700542888,commune
QP037006,372610402,0.9999268856907731,commune
QP037007,372611403,0.9998924767378347,commune
QP037007,372610601,0.9999090859804862,commune
QP037007,372612001,0.9999156695548984,commune
QP037007,372610602,0.9999209156625656,commune
QP037007,372610402,0.99992673129905,commune
QP037008,372611403,0.9998920981268745,commune
QP037008,372610601,0.9999087073695261,commune
QP037008,372612001,0.9999152909439383,commune
QP037008,372610602,0.9999205370516054,commune
QP037008,372610402,0.9999263526880898,commune
QP037009,372611403,0.9998925400910906,commune
QP037009,372610601,0.9999091493337422,commune
QP037009,372612001,0.9999157329081544,commune
QP037009,372610602,0.9999209790158216,commune
QP037009,372610402,0.9999267946523059,commune
QP037010,372611403,0.9998926734261646,commune
QP037010,372610601,0.9999092826688162,commune
QP037010,372612001,0.9999158662432284,commune
QP037010,372610602,0.9999211123508955,commune
QP037010,372610402,0.9999269279873799,commune
QP037011,372611403,0.9998926530948045,commune
QP037011,372610601,0.999909262337456,commune
QP037011,372612001,0.9999158459118682,commune
QP037011,372610602,0.9999210920195354,commune
QP037011,372610402,0.9999269076560198,commune
QP038001,381510306,0.9997866776334033,commune
QP038001,381510301,0.9999321971295172,commune
QP038001,381510202,0.9999575197961688,commune
QP038001,381510104,0.9999582326992432,commune
QP038001,381510402,0.9999629520553821,commune
QP038002,380530401,0.9998787163652124,commune
QP038002,380530403,0.9999426511722013,commune
QP038002,380530101,0.9999486062633866,commune
QP038002,380530102,0.9999512937397279,commune
QP038002,380530301,0.9999528730862626,commune
QP038003,381510306,0.9997853669231559,commune
QP038003,381510301,0.9999308864192697,commune
QP038003,381510202,0.9999562090859213,commune
QP038003,381510104,0.9999569219889958,commune
QP038003,381510402,0.9999616413451347,commune
QP038004,381510306,0.9997864992337645,commune
QP038004,381510301,0.9999320187298784,commune
QP038004,381510202,0.9999573413965299,commune
QP038004,381510104,0.9999580542996044,commune
QP038004,381510402,0.9999627736557433,commune
QP038005,381690108,0.9998907471939408,commune
QP038005,381690107,0.99993192757294,commune
QP038005,381690106,0.9999334201849586,commune
QP038005,381690103,0.9999342895467802,commune
QP038005,381690105,0.9999418367771379,commune
QP038006,381850604,0.9996678926102882,commune
QP038006,381850603,0.9997002125282719,commune
QP038006,381850504,0.999844161168594,commune
QP038006,381850507,0.9998464844912538,commune
QP038006,381850605,0.9998549053210892,commune
QP038007,381850604,0.999668973430403,commune
QP038007,381850603,0.9997012933483866,commune
QP038007,381850504,0.9998452419887087,commune
QP038007,381850507,0.9998475653113685,commune
QP038007,381850605,0.999855986141204,commune
QP038008,381850604,0.9996685042771658,commune
QP038008,381850603,0.9997008241951495,commune
QP038008,381850504,0.9998447728354716,commune
QP038008,381850507,0.9998470961581314,commune
QP038008,381850605,0.9998555169879668,commune
QP038010,383170101,0.9999504339031534,commune
QP038010,383170104,0.9999535275305766,commune
QP038010,383170105,0.9999543333254056,commune
QP038011,384210502,0.9999372011957628,commune
QP038011,384210201,0.9999464865810922,commune
QP038011,384210501,0.999949095125375,commune
QP038011,384210301,0.999952391308476,commune
QP038011,384210302,0.9999538691139057,commune
QP038012,385630106,0.9999417025312393,commune
QP038012,385630103,0.9999521256386438,commune
QP038012,385630105,0.9999546809479288,commune
QP038012,385630104,0.9999575752776564,commune
QP038012,385630102,0.9999627921773045,commune
QP038013,380530401,0.9998783798978593,commune
QP038013,380530403,0.9999423147048482,commune
QP038013,380530101,0.9999482697960335,commune
QP038013,380530102,0.9999509572723748,commune
QP038013,380530301,0.9999525366189095,commune
QP038014,381930101,0.9999196636438441,commune
QP038014,381930107,0.9999337765465526,commune
QP038014,381930105,0.999954645518044,commune
QP038014,381930106,0.9999561515280425,commune
QP038015,385530106,0.9998948910397804,commune
