CodGeo,Note,nbLsPls,nbLsMes,txVac,txVac3m,txRot,txLsCol,txLsInd,txLs1p,txLs2p,txLs3p,txLs4p,txLs5pp,txLsm30,txLs30a40,txLs40a60,txLs60a80,txLs80a100,txLs100a120,txLs120p,txLsAv49,txLs49a75,txLs76a88,txLs89a00,txLs01a13,txLsAp13,txLsPlai,txLsPlusAv77,txLsPlusAp77,txLsPls,txLsPli,moyLoy,q1Loy,medLoy,q3Loy
QP034018,0,274.0,,,,"7,8",,,"11,3","29,2","41,2","14,2",4,,"13,1","33,6","36,9",12,,,"14,6",,,54,"24,5",,,,"73,7",,,"5,65","4,94","5,52","6,45"
QP034019,0,97.0,,,,,,,,,"42,3","29,9",,,,"22,7","60,8",,,,"19,6",,,"61,9",,,"25,8",,"56,7",,,"5,53","4,79","5,67","6,19"
QP034020,0,30.0,,,,,,,,"43,3",,,,,,"43,3",,,,,,,,,,,50,,,,,"4,96","4,25","4,53","5,25"
QP034021,0,862.0,,,,"4,8",,,"2,7","19,5","41,1","26,6","10,2",,"1,6","21,6","53,8","21,5",,,"4,1","41,6","33,3","5,3","9,3","6,4",,"57,1","34,8",,,"5,43","4,9","5,42","5,94"
QP034022,0,287.0,,,,"5,9","71,1","28,9",,,"30,7",47,"18,1",,,"13,9","41,5","36,9",,,,"40,8",,,"30,3",,,"40,8","47,7",,,"5,02","4,52","4,93","5,35"
QP035001,0,1787.0,,"6,4","6,4",,"96,4","3,6","2,7","22,3","32,9","30,2","11,8",,,24,"41,3","29,1","4,6",,,"67,3","24,5","2,8",,"3,4",,"90,5","5,9","2,8",,"4,4","4,02","4,22","4,57"
QP035002,0,2640.0,,"2,7","0,9","10,9",,,"10,1","16,9","22,5","28,8","21,7","6,7",,"17,9","38,8","28,3","5,8",,,"89,4",,,"1,5","8,7","0,8","89,2","2,2","5,8",2,"5,15","4,57","5,04","5,44"
QP035003,0,1999.0,,"1,8","0,6","6,9",,,"6,1","20,8","42,5","26,9","3,8","3,3",,"41,8","43,2","8,6",,,,"99,3",,,,,"4,9","94,1",,,,"5,45","4,94","5,42","5,84"
QP035004,0,3111.0,,"4,1","2,2","8,9",,,"8,1","25,2","39,3","24,5","2,9",,"8,9",49,"39,3",,,,,,,,,,,"99,4",,,,"5,39","4,88","5,41","5,81"
QP035005,0,3585.0,,"1,7","0,6","6,5",,,"6,2","19,7","23,8","37,5","12,7",,"4,1",23,"48,1","21,6","2,5",,,"98,3","1,3",,,,,"99,2",,,,"4,87","4,16","4,75","5,41"
QP035006,0,791.0,,"1,8",,"11,9",96,4,"2,5","32,1","38,8","15,7","10,9",,,"51,6","36,2","8,7",,,,"74,2","11,9",,"8,5","3,7","2,8","72,4","23,3",,,"5,64","4,98","5,53","6,2"
QP035007,0,322.0,,,,"7,4",91,9,"8,1","21,1","44,1","21,1","5,6",,,"32,6","46,9",14,,,,"85,4","8,7",,,,,"94,1",,,,"5,09","4,58","5,03","5,65"
QP036001,0,995.0,,"1,8",,"13,3",,,,"32,2","51,1","13,1",,,"10,5","74,7",13,,,,,,,,,,,,,,,"5,41","5,08","5,37","5,75"
QP036002,0,1906.0,,"2,3","1,3","10,2","98,1","1,9","3,7","11,3","35,6","40,6","8,8",1,,"12,7","58,2","25,9","1,4",,,"61,3","35,2",,,,,"96,4","2,2",,,"4,81","4,54","4,78","5,12"
QP036003,0,604.0,,"5,4","3,7","10,9","81,6","18,4",,"10,3","42,7","38,4",,,,"17,7","61,4","16,1",,,,78,,,"12,7",,,"76,7","8,6",,"11,9","4,67","4,45","4,78","5,29"
QP036004,0,769.0,,"8,4","5,6","17,4","90,5","9,5","4,3","13,3","48,5","28,5","5,5",,,"31,6","58,5","5,9",,,,"92,3",,,"4,3",,,"93,1","3,5",,,"4,8","4,46","4,86","5,11"
QP037001,0,418.0,,"3,6",,8,"76,6","23,4","3,8","17,2","33,7","31,3","13,9",,,"17,2","34,7","40,4","3,8",,,"62,7","9,3","10,3","11,5",,,"62,7","31,1",,,"4,88","4,25","4,61","5,53"
QP037002,0,1855.0,,"5,9","3,8","8,4",99,1,"1,2","12,6","39,7","36,2","10,2",,,21,"65,4","12,1",,,,"91,5","5,3",,"1,8",,,"95,5","3,4",,,"4,73","4,08","4,61","5,16"
QP037003,0,780.0,,"3,4",2,"7,7",,,"11,5","25,6","37,6",20,"5,3",,"11,2","28,8","36,3","22,1",,,,"30,3","57,7","9,5",,,,"75,4",,,,"4,88","4,17","4,52","5,54"
QP037004,0,1688.0,,"3,9","2,1","10,1","97,9","2,1","6,6","25,8","33,2","29,1","5,3",,"4,8","25,4","38,5","28,4",,,,"72,1","26,1",,,,,"82,8","14,9",,,"4,52","3,73","4,23","5,31"
QP037005,0,1602.0,,"1,1",,"8,4",,,"17,7","36,8","30,7","8,4","6,4",,16,"37,1","38,3",8,,,,"87,4","10,2",,,,,"97,6",,,,"4,6","4,03","4,42","5,04"
QP037006,0,638.0,,"3,5","2,1","13,7",,,"21,3","25,5","33,5","15,7","3,9","10,7","10,7","25,5","41,2",,,,,,,,,,,,,,,"5,36","4,9","4,97",6
QP037007,0,595.0,,,,"4,2",,,"2,9","8,6",16,"54,6",18,,,"8,6","70,3","9,7","8,6",,,,,,,,,,,,,"4,27","3,87","4,08","4,71"
QP037008,0,1348.0,,"0,9",,"8,7",,,"8,8","26,1","31,8","27,4","5,8",,"8,1","19,8","57,3","9,1",,,,"93,8",,,,,,,,,,"4,44","4,05","4,51","4,89"
QP037009,0,4050.0,,"2,8",1,"9,6",,,16,"19,2","34,8","21,8","8,1","9,9","7,7","42,1","32,3","7,1",,,,"87,2",,"9,9",,,,"89,6","9,4",,,"5,02","4,41","5,05","5,4"
QP037010,0,907.0,,"2,5",,"12,1","98,1","1,9","1,3","16,9","37,6",35,"9,3",,6,"39,4","44,1","9,3",,,,"75,9",,"16,3",,,,"75,9","21,6",,,"5,75","5,16","5,65","6,02"
QP037011,0,1021.0,,,,"8,9",,,"25,5","25,1","30,9","14,9","3,7","7,5","13,9","44,8","29,6",,,,8,58,"25,4","7,1",,,,"91,3",,,,"4,82","4,22","4,58","5,27"
QP037012,0,858.0,,"2,6",,"10,2","89,7","10,3","5,5","20,7","39,5","26,1","8,2",,"4,2","30,1","59,2","5,2",,,,"97,1",,,,,,"97,9",,,,"4,73","4,28","4,69","5,06"
QP038001,0,1209.0,30.0,"3,8","2,3","9,3",,,"1,9","19,9",45,"23,3","9,9",,,"54,5","30,7","11,2",,,"23,2","56,5",,"5,5","12,3",,,"56,2","41,4",,,"6,13","5,22","5,69","7,03"
QP038002,0,289.0,,"7,2",,"14,8",,,,,"53,3","32,2",,,,"29,4","52,2",,,,,,,,,,,,,,,"5,8","5,57","5,81","6,12"
QP038003,0,1898.0,,"5,6","3,7","9,4",,,"2,9","13,5","31,3","35,8","16,5",,,"16,9","47,9","28,5","4,8",1,,"98,9",,,,,,"98,8",,,,"5,24","4,68","5,22","5,63"
QP038004,0,754.0,19.0,,,"7,6",,,,"16,3","35,8","41,1",,,,"30,5",63,,,,,"82,8","4,1",,"10,2",,,"81,2","16,3",,,"5,44","5,08","5,3","5,5"
QP038005,0,632.0,,"1,8",,"8,3",,,"9,8","9,2","40,7","34,5","5,9",,"7,6","12,8","56,6","18,8",,,,"62,8",34,,,,,"62,8",,,,"5,73","5,3","5,86","6,12"
QP038006,0,921.0,,"3,7","2,6","10,2","98,7","1,3","2,6","18,1","32,7","33,4","13,1",,,"17,8","47,3","23,2","8,3",,,"68,7","13,6",,"9,8",,,"68,7","26,8",,,"5,29","4,62","4,79","5,91"
QP038007,0,3560.0,42.0,"3,5","1,2","10,3",,,"10,1","12,6","26,7","33,3","17,3","5,4","3,1","12,8","37,8","32,4",7,"1,6",,"70,5","27,5",,,,"0,4","76,2","16,6","5,5","1,3","5,06","4,56","4,89","5,32"
QP038008,0,2546.0,22.0,"5,1","3,9","9,4","99,3","0,7","6,1","18,5","37,4","24,9","13,1","4,1",4,"30,2","45,6",13,"2,4","0,8",,"78,2","7,9",,"9,3",,"0,7","73,3","21,1","1,3","3,5","6,02","5,5","5,94","6,49"
QP038009,0,523.0,,"4,1","3,3",5,,,14,"23,7","33,1","17,4","11,9","2,7","11,1",27,"29,8","20,3","6,5","2,7","36,9","20,8","38,4",,,,,73,"23,3",,,"5,41","4,67","5,28",6
QP038010,0,639.0,,"2,1",,"9,8",,,"5,9",10,"35,4","36,2","12,5",,"3,3","9,9","70,4","13,1",,,,"96,2",,,,,,"73,4",,,,"5,55","5,06","5,34","6,08"
QP038011,0,856.0,,"5,9","4,4","9,2","97,9","2,1","2,7","13,7","46,5","29,9","7,2",,"2,3","53,3","25,7","12,9","3,5",,,"54,6","29,9",,"8,6",,"8,3",,"84,1",,,"6,73","6,24","6,83","6,98"
QP038012,0,467.0,,,,"6,6","97,6","2,4","5,6","4,7",40,"38,8","10,9",,"4,3",,"68,5","16,9","4,9",,,"75,4",,,,,,"94,2",,,,"5,21","4,79",5,"5,48"
QP038013,0,787.0,,,,"7,5",,,6,10,"44,6","30,6","8,8",,"3,2","21,5","45,5","27,2",,,,"86,7",,"6,7",,,,"88,2",,,,"5,43","4,92","5,39","5,77"
QP038014,0,1205.0,,"2,2",,"13,2","89,4","10,6","4,5","18,1","39,4","29,5","8,5",,,"15,7","42,8","32,8",5,,,,,"63,2",,,,,"98,3",,,"6,27","5,89","6,26","6,63"
QP038015,0,1128.0,,"2,9",,"10,5","91,2","8,8","7,4","24,3","34,2","25,5","8,5",,"7,4","22,9","38,4",27,,,,,"78,1",,,,,,,,,"6,43","5,91","6,34","6,92"
QP038016,0,717.0,,"3,5",,"13,1",,,"4,9","17,7",36,"32,1","9,3",,"3,3","18,8","42,7","33,2",,,,"61,6",29,,,,,"90,7",,,,"5,39","5,03","5,36","5,77"
QP038017,0,312.0,,"15,2","8,9","17,4",,,,,"51,6",24,"11,2",,,"21,5","58,7","15,4",,,,59,"19,2","15,1",,,,"54,5",,,,"5,05","4,57","4,83","5,51"
QP038018,0,285.0,,"4,3",,17,,,"5,3","14,7","39,6","27,4",13,,,"29,8","40,4","23,5",,,,"91,2",,,,,,"89,5",,,,"5,28","4,7","5,02","5,81"
QP038019,0,208.0,,,,"5,9",,,,"29,3","52,4","12,5",,,,"76,4","10,6","6,7",,,,"70,2",,,"17,3",,,"66,3","28,4",,,"6,43","6,09","6,43","6,74"
QP038020,0,327.0,,,,"6,2","88,7","11,3",,"13,5",44,"34,3",,,,,"48,3","34,9",,,,,"88,1",,,,,"88,1",,,,"4,77","4,46","4,66","4,93"
QP038021,0,468.0,,,,"9,4","95,3","4,7",,22,"51,1","21,4",,,,"36,8","40,4",,,,,"44,9",47,,,,,"69,4",,,,"6,15","5,76","6,13","6,53"
QP038022,0,464.0,,,,"9,5",,,"5,6","22,2","34,3","23,9",14,,,"31,9","42,9","18,1",,,,,,,,,,,,,,"4,63","4,32","4,49","4,74"
QP038023,0,950.0,,"1,5",,8,,,"4,9",10,36,"38,1","10,9",,"4,2","12,9","50,4","25,3","3,9",,,"92,4",,,,,,,,,,"4,03","3,69","3,92","4,18"
QP038024,0,680.0,,"9,2","6,1","11,2",,,"8,2","19,1","40,7","22,6","9,3",,"7,6","21,5","45,7","19,1","4,4",,,6,"58,7","31,3",,,"2,4","39,4","56,3",,,"5,25","4,71","5,2","5,78"
QP038025,0,590.0,,,,"9,7","98,1","1,9","2,2","8,1","45,6","35,3","8,8",,,"23,1","64,2","10,2",,,"11,5","70,8","15,4",,,,,"92,2","4,4",,,"4,4","4,04","4,29","4,67"
QP038026,0,467.0,,,,"8,1",79,21,"2,6","13,3","28,9","43,5","11,8",,,"13,3",37,"42,2","4,1",,,,"89,1",,"5,6",,,,"50,1",,,"4,88","4,11","4,91","5,62"
QP039001,0,1234.0,,,,"12,2","97,4","2,6","3,6","16,9","49,8","23,8","5,8",,,"18,5",69,"9,6",,,,67,"29,6",,,,,96,,,,"4,34","3,9","4,25","4,66"
QP039002,0,1695.0,,"4,1","2,7","10,8",,,"0,8","10,4","43,5","37,3",8,,,"21,2","63,2","13,1","1,8",,,"88,5",,"6,5",,,,"92,9",,,,"4,23","3,89","4,19","4,53"
QP039003,0,647.0,,"14,1","11,6","5,6",,,"5,1","11,1",40,"31,5","12,2",,"3,6","12,7","62,9","17,6",,,,"59,8",,,,,,,,,,"4,63","4,34","4,56","4,89"
QP039004,0,477.0,,"12,1","10,7","13,1",,,"8,6","11,1","33,3","38,4","8,6",,"15,1",,"54,1","17,8",,,,"95,8",,,,,,"95,8",,,,"4,44","4,06","4,28","4,69"
QP040001,0,282.0,,,,"12,5",,,,"25,9",61,,,,,,"36,9","41,8",,,,"56,7",,"9,6",,22,,"56,7","35,8",,,"5,15","4,33","4,94","5,98"
QP040002,0,435.0,,,,"10,7",,,,"15,4","37,9",34,,,,,51,"32,4",,,,77,,,,,,77,,,,"4,79","4,47","4,77","5,08"
QP040003,0,425.0,,,,"9,9","45,9","54,1","20,7","16,9","36,9","12,2","13,2","19,8",,"14,8","37,4","14,1",,,,"34,1","13,9","40,2",,,,,"63,5",,,"5,18","4,44","5,36","5,77"
QP040004,0,702.0,18.0,"4,6","1,8","13,1","45,9","54,1",,"11,4","36,6","42,5",,,,,"48,1","33,6",,,,"18,2","10,3","34,9",,"28,9",9,"18,2",66,,,"5,58","5,18","5,49","5,82"
QP040005,0,385.0,,"5,1",,"12,8","89,6","10,4",,"9,4","37,4","46,5",,,,,"40,8","48,8",,,,"79,5",,"10,4",,,,"79,5","13,5",,,"4,34","3,74","4,25","4,64"
QP041001,0,4352.0,,"2,8","1,8","9,1","93,8","6,2","4,1","12,8","36,5","37,3","9,2","0,6",2,"18,5","55,5","19,9","2,9","0,6",,"78,8","10,1",,"8,4","2,4","0,7","88,8","8,5",1,"1,1","4,3","3,73","4,27","4,73"
QP041002,0,1364.0,,"4,9","3,3","8,7",,,,"12,7","45,4","34,5",,,,"21,8","64,1","13,1",,,,"89,2",,,,,,"98,6",,,,"3,98","3,59","3,99","4,33"
QP041003,0,682.0,,"2,5",,"10,7","93,4","6,6","8,9","17,6",37,"28,9","7,6",,,"38,6","34,8","21,3",,,,"91,5",,,,,,,,,,"4,69","4,32","4,68","5,06"
QP042001,0,519.0,,"4,5","2,3",11,,,"5,2","14,8","40,1","37,2","2,7",,,"16,2","43,9","34,9",,,,62,,,,,,"87,9",,,,"4,62","4,25","4,39","4,94"
QP042002,0,792.0,,"5,1","3,9","8,2",,,"3,2","17,2","39,5","32,8","7,3",,"3,2","16,3",53,"20,2","5,6",,,,,,,,,,,,,"4,36","4,07","4,25","4,68"
QP042003,0,516.0,,"10,8",9,"7,9","91,9","8,1",,"30,2","37,2",24,,,,"40,3","34,3","19,6","3,7",,"4,3","80,6",,,"12,4",,,"84,9",,,,"4,55","4,15","4,46","4,89"
QP042004,0,280.0,27.0,"10,4","8,5","11,2","82,9","17,1",,15,"39,3","37,5",,,,"28,9","41,4",,,,15,"60,4",,,"12,9",,,"71,8","23,2",,,"5,03","4,63","4,89","5,59"
QP042005,0,536.0,,"5,5","3,4","12,4","91,8","8,2",,"17,4",41,"27,6",,,,"27,1","46,3","23,1",,,,"74,1","7,3",,"3,7","12,7",,"72,6","23,9",,,"5,29","4,84","5,25","5,69"
QP042006,0,836.0,,10,"8,6","9,7",98,2,"2,4","21,5","36,1","30,9","9,1",,"6,2","30,4",40,19,"2,8",,,"67,8","28,6",,,,,"71,8","23,2","3,1",,"4,48","3,78","4,22","5,04"
QP042007,0,515.0,,,,"8,5","95,7","4,3",,12,"35,3","39,6",,,,"12,6","44,1",39,,,,86,,,,"9,1",,,,,,"5,09","4,75","4,96","5,39"
QP042008,0,157.0,,,,"8,2",,,,"27,4","29,9","31,8",,,,"26,8","39,5","26,1",,,,,"36,3","24,8","25,5",,,,"91,7",,,"5,44","4,97","5,48","5,91"
QP042009,0,655.0,,"12,7","10,4","7,1",,,"14,5","29,8","38,6","14,8","2,3","2,7","12,8","48,7","22,4","10,8",,,"37,4","44,1",,"10,1",,,,"66,3","29,3",,,"5,14","4,65","5,16","5,58"
QP042010,0,344.0,,"20,5","19,9","7,3",,,,"26,2","42,2",23,,,,"40,1","43,6",,,,,"52,6",,,,,,89,,,,"4,48","3,94","4,49","4,99"
QP042011,0,422.0,,9,"8,4","8,7",,,5,"20,1","37,9",27,10,,,31,"53,8","9,2",,,,"59,7",,,,,,"61,1","22,7",,,"5,27","4,67","5,18","5,92"
QP042012,0,1165.0,,"3,6","2,5","8,4",,,"6,9","23,3","35,5","27,5","6,9",,"4,6","24,3","38,8","25,1","3,5",,10,,"39,1","28,1","12,7",,"6,6","17,9","68,5","3,3","3,6","5,48","4,92","5,43","6,02"
QP042013,0,1714.0,,8,6,"8,4","96,5","3,5","0,8","11,4",44,"33,8","9,9",,,17,"57,1","18,6","6,1",,,"86,4","10,4",,,,,"86,3",13,,,"4,29","3,85","4,18","4,66"
QP042014,0,514.0,,"6,4","4,2","7,3",,,"10,7","18,5","37,2","23,2","10,5",,"9,1",21,"38,7",23,"5,6",,"12,1","25,7",34,"9,1","13,8","5,3","9,5","24,7","56,6","2,5","6,6","5,6","4,91","5,58","6,21"
QP042015,0,526.0,,"20,5","19,2","7,4",,,,"18,8","28,9",39,,,"7,2","29,8","36,9","14,8","9,1",,,"80,8",,,,,,"80,8","16,7",,,"4,96","4,43","4,95","5,35"
QP042016,0,610.0,,"2,2",,"10,9","90,7","9,3",,"18,9","32,5","36,2",,,,"19,5","56,1",19,,,,53,,,,,,"68,7",,,,"5,08","4,61","5,03","5,56"
QP042017,0,971.0,,3,"1,2","12,9",,,"6,4","26,1","34,2","27,5","5,9","3,7","2,7","32,9","52,8","6,7",,,,"98,8",,,,,,"85,7",,,,"5,01","4,64","4,86","5,18"
QP042018,0,444.0,,"15,8",12,"18,6",,,,"22,5","41,2","22,1",,,,"22,5","57,9",,,,,,,,,,,,,,,"4,04","3,79","4,05","4,28"
QP042019,0,438.0,,"24,9","23,3","8,3","85,6","14,4",,"11,2","40,2","40,9",,,,"15,1","75,3",,,,,"83,6",,,,,,"74,9",,,,"4,85","4,61","4,78","5,06"
QP043001,0,526.0,,"9,3","5,7",10,,,,"22,2",23,"44,5",,,"3,8",39,"45,6",8,,,,"94,3",,,,,,"94,3",,,,"5,36","5,04","5,44","5,72"
QP043002,0,341.0,,,,"8,1","89,7","10,3",,"19,1","37,5","33,7",,,,"26,7","53,1","16,1",,,,"70,4","19,4",,,,,"89,4","4,7",,,"4,82","4,39","4,62","4,91"
QP044001,0,2794.0,12.0,"1,7",,"8,9","96,7","3,3",1,"16,1","43,5","29,6","9,8",,,22,"58,3","16,5","2,6",,,"91,9",,,"2,2","4,9","1,4","91,7","4,2","0,8","1,8","5,09","4,61","4,98","5,34"
QP044002,0,500.0,,"2,4",,7,,,3,"15,6","45,8",29,"6,6",,,"15,6","73,4","8,2",,,,"93,8",,,,,,"93,8",,,,"4,68","3,63","5,03","5,31"
QP044003,0,488.0,,"3,1",,"7,6","93,9","6,1",,"24,4","36,1","32,2",,,,"38,3","43,4","15,8",,,,,,,,,,,,,,"4,39","3,54","4,59","5,2"
QP044004,0,531.0,,"10,5","7,6","10,7",94,6,"7,7","23,9",39,"24,9","4,5",,,"23,9","60,5","7,9",,,,94,,,,,,94,,,,"4,92","4,57","4,66","5,26"
QP044005,0,4886.0,,"1,3","0,5","6,5","94,8","5,2",5,"19,5","30,2","32,8","12,5","1,5","4,2","23,9","49,1","18,2","2,5","0,5","4,1","81,8","4,6","4,4","0,7","4,3",,"53,4","42,8","2,5",,"5,25","4,73","5,06","5,57"
QP044006,0,2308.0,,"1,8",1,"6,8","98,9","1,1","1,3","22,6","42,9","20,5","12,7",,,"46,7",36,"13,5","2,6",,,"83,8",,"2,5","6,2","5,8","0,8","74,7","19,7","3,4","1,4","5,32","4,63","4,98","5,57"
QP044007,0,1613.0,,"3,5","2,5","7,4","99,1","0,9",3,"14,3","44,9",25,"12,7",,3,"43,3","36,5","16,2",,,,"94,1",,,"4,8",,,"94,1",,,,"5,25","4,8","5,19","5,63"
QP044008,0,2540.0,,"3,2","2,2","9,8","98,1","1,9",10,"19,2","44,8","24,2","1,8",,"10,6","19,1","54,8","13,9",,,,"76,7","18,9","1,9","1,6",,"1,9","95,5","1,6",,,"4,59","3,98","4,59","4,96"
QP044009,0,1110.0,,"1,8","1,7","8,5",,,5,"33,4","36,8","19,5","5,3",,"9,7","59,2","25,7","3,2",,,,"92,6",,,,,,"92,6",,,,"5,09","4,74","5,02","5,34"
QP044010,0,932.0,,"2,2","1,5","7,5",,,,"13,2","64,7","15,3",,,,"13,2","71,2","8,8",,,,,,,,,,,,,,"4,63","4,17","4,67","4,88"
QP044011,0,728.0,,"3,1","1,8","8,4",,,3,"16,6","43,7","29,9","6,7",,,"18,3","43,3","29,1","6,6",,,"83,5",,,"13,2",,,"83,5",,"14,3",,"5,25","4,61","4,85","5,26"
QP044012,0,598.0,,"2,7",,"5,6",,,8,"20,7","36,8","21,1","13,4",,"16,9",41,"18,6","17,9",,,,"91,3",,,,,,"91,3","5,5",,,"5,48",5,"5,24","5,85"
QP044013,0,1413.0,,"1,9","1,1","7,8",,,"1,3","14,1","41,3","35,3",8,,"1,8","13,1","54,6","29,1",,,,"88,5","4,8",,5,,,"87,8","7,3",,,"5,38","4,95","5,18","5,48"
QP044014,0,2230.0,,"1,4","0,8","4,8","99,2","0,8","7,2","20,9","34,6","31,3",6,"2,6","10,4","25,4","51,8","9,1",,,,"88,1","4,3","3,4","3,5",,,"92,3",,,,"4,98","4,22","4,9","5,43"
QP044015,0,580.0,,"2,3",,"7,9",,,"4,7","14,8","38,1","34,8","7,6",,,15,"63,6","16,9",,,,,,,,,,,,,,"5,46","5,05","5,41","5,73"
QP044016,0,411.0,,,,"7,8","76,9","23,1","6,1","29,2",27,"23,1","14,6",,,"33,3","47,9","9,5","6,1",,,91,,,,,,91,,,,"5,08","4,44","4,82","5,25"
QP044017,0,471.0,,,,"8,9",,,,"27,8","30,6","26,3",,,,"27,8","56,1","10,2",,,,,,,,,,,,,,"5,47","5,11","5,36","5,65"
QP044018,0,993.0,,"1,7",,10,"96,3","3,7","5,3","19,1","43,6","22,6","9,4",,,"42,3",41,"11,8",,,,"74,9","20,1",,,,,"74,9","23,7",,,"5,98","5,47","5,88","6,32"
QP044019,0,523.0,,"3,4",,"10,8",,,"12,2","16,4","23,1","40,2",8,"7,3",5,"16,4","25,4","40,7",,,,96,,,,,,96,,,,"4,74","4,45","4,57","4,77"
QP045001,0,471.0,,,,"8,4","95,5","4,5","4,7",24,48,"20,8","2,5",,,"21,4","53,9","19,7",,,,,"87,5",,,"6,8",,"88,5",,,,"5,28","4,63","5,08","5,91"
QP045002,0,296.0,,,,"6,5","70,6","29,4",,"12,5","42,9","34,8",,,,"20,9","60,1","11,8",,,,"34,5","27,4","22,6","8,8",,"17,2","65,5",,,,"4,76","4,25","4,77","5,2"
QP045003,0,1499.0,,"2,4","0,8","10,7","86,7","13,3","3,1","23,4","45,2","22,7","5,7",,"5,2","34,4",36,"21,3",2,,"3,1","43,4","18,7","27,2",3,"4,5",,"50,3","37,5","6,5",,"5,38","4,66","5,47",6
QP045004,0,1390.0,,"2,3",,"11,5",,,"7,6","22,5","40,7","24,3","4,8",,"7,6","37,1","49,4",,,,,"78,2",7,"11,2",,,,"96,2",,,,"5,16","4,82","4,98","5,37"
QP045005,0,695.0,,"2,8",,15,"88,2","11,8","7,2","24,3","31,4","29,5","7,6","5,6","1,9","31,1",44,"15,8",,,,"48,9",23,"15,3","10,4",,"6,8","71,9","14,1","2,4","4,7","5,1","4,42","4,86","5,64"
QP045006,0,588.0,,"2,4",,11,"91,2","8,8",,"12,1","52,2","28,4",,,,35,"46,3","16,3",,,,"53,4","41,7","2,7",,,,52,"45,7",,,"5,96","5,64","5,92","6,14"
QP045007,0,718.0,,,,"10,1","97,2","2,8",,"19,8","51,8","24,2",,,,"19,8","64,6",,,,,,,"51,7",,,,"54,5",,,,"5,42","4,86","5,48","5,89"
QP045008,0,251.0,,,,5,51,49,,"18,7","37,1","37,5",,,,,"45,8","31,5",,,,,"71,3",,,,,,"95,2",,,"6,71","6,37","6,65","7,02"
QP045009,0,664.0,,"7,7","4,9","17,8",,,,,"41,6",38,"11,1",,,"17,5","73,5",,,,,"97,4",,,,,,11,,,"86,6","6,36","6,07","6,47","6,83"
QP045010,0,4071.0,,"9,1","7,1","9,9","97,8","2,2","8,7","22,4","32,6","29,6","6,7","3,9","4,6","21,3","51,2","17,2","1,3","0,5",,"62,3","15,6","14,1","7,5",,"0,8","76,2","21,2","0,5","1,3","5,49","4,96","5,44","5,87"
QP045011,0,2268.0,,"6,9",5,"6,3","88,3","11,7","2,4","17,9","44,9",25,"9,9",,9,39,"36,4","13,4",,,"2,6","64,7","13,6","16,1","2,4","0,6",,"77,2","19,7",,"2,4","5,35","4,34","5,43","6,01"
QP045012,0,552.0,,,,"7,5",,,2,"6,3","73,2",15,"3,4",,,"10,5","84,2",,,,,"94,2",,,,,,94,,,,"5,16","4,87","5,27","5,55"
QP045013,0,340.0,,,,"9,9","92,6","7,4",,"18,5","31,2","38,8",,,,"42,6","45,6",,,,,,"52,4","39,7",,,,,"57,9",,,"6,37","5,82","6,5","6,88"
QP045014,0,478.0,,"3,9","2,4","6,1","94,4","5,6",,,"34,5","43,1","13,4",,,"28,2","56,9",,,,,"67,6",,"23,4","6,7",,,"64,4","26,6",,,"5,56","5,17","5,51","6,12"
QP045015,0,405.0,,"4,9",,9,"49,1","50,9",,,43,"34,8","13,6",,,,56,"33,6",,,,"37,8","59,3",,,,,"91,4",,,,"5,27","4,91","5,45","5,58"
QP045016,0,679.0,,"7,1","5,7","6,9","88,2","11,8","4,4","15,3",37,"33,3",10,,"7,7","36,1",44,"8,1",,,,"90,9",,,,,,"90,9",,,,"5,29","4,87","5,23","5,64"
QP045017,0,481.0,,"8,4","6,2","9,1",,,,"29,7","44,9","20,8",,,,"14,6","65,5","16,6",,,,"20,8",73,,,,"3,3","93,8",,,,"4,97","4,59","4,77","5,21"
QP045018,0,593.0,,"1,9",,"11,5",97,3,"10,5",,57,"25,5",,,"10,5","7,1","75,7",,,,,"97,5",,,,,,"97,5",,,,"4,87","4,59","4,83","5,11"
QP045019,0,433.0,,,,"7,4","96,5","3,5",,"24,5","54,3","13,9",,,"6,5","24,9",51,"14,8",,,,"69,7",,,,,,"97,2",,,,"4,68","4,25","4,52","4,76"
QP046001,0,408.0,,5,,"12,5","85,3","14,7",,"17,9","31,6","35,3",,,,"14,2","53,4",25,,,,52,,"14,5","23,8",,,52,"40,9",,,"4,99","3,99","4,96","5,85"
QP047001,0,685.0,,,,"10,8",,,"2,2","2,5","35,5",45,"14,9",,"2,2","2,5",62,"31,7",,,,"57,1","39,9",,,,,"57,1","39,9",,,"4,83","4,63","4,86","4,99"
QP047002,0,565.0,,"5,7","3,3","14,9",,,"4,2",5,"27,3","41,4","22,1","3,7",,"4,8","65,1","24,1",,,,"79,5",,,,,,"79,5",,,,"4,97","4,47","4,9","5,23"
QP047003,0,106.0,,,,"16,2",,,,"39,6","40,6",,,,,"41,5","36,8",,"11,3",,,,,"63,2","21,7",,,,"70,8",,,"5,64","5,24","5,62","6,06"
QP047004,0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,16","4,79","5,03","5,24"
QP047005,0,147.0,,,,"13,8","84,4","15,6",,"36,1",34,19,,,,"35,4","37,4",,,,,"12,2",,"30,6","45,6",,,,"71,4",,,"5,65","5,24","5,77","6,04"
QP047006,0,360.0,,,,"8,3",,,,,"61,7",,"20,6",,,,"79,4",,,,,,,,,,,,,,,"4,38","4,25","4,35","4,52"
