CodGeo,Note,nbLsPls,nbLsMes,txVac,txVac3m,txRot,txLsCol,txLsInd,txLs1p,txLs2p,txLs3p,txLs4p,txLs5pp,txLsm30,txLs30a40,txLs40a60,txLs60a80,txLs80a100,txLs100a120,txLs120p,txLsAv49,txLs49a75,txLs76a88,txLs89a00,txLs01a13,txLsAp13,txLsPlai,txLsPlusAv77,txLsPlusAp77,txLsPls,txLsPli,moyLoy,q1Loy,medLoy,q3Loy
QP093003,0,4138.0,,1,"0,4","3,9","96,7","3,3","3,1","15,3","43,2","30,5",8,"1,7",,"24,8","48,4","20,4","3,1",,,"33,8","21,6",,"30,5","11,3","4,4","15,2","74,9","4,8","0,7","6,6","5,9","6,49","7,13"
QP093004,0,1206.0,,"1,3",,"4,5",,,"17,9","21,6","34,4","19,9","6,2","14,3","11,4","46,4","24,9",,,,,"84,5",,,,,,"84,5",,"12,5",,"6,2","5,57","6,12","6,87"
QP093005,0,1794.0,32.0,"1,4","0,7",5,"98,6","1,4","18,2","24,5","31,4","21,8",4,"9,8","18,4",24,"33,9","12,2",,,"20,4","75,5",,,,,,"84,4","9,7",,4,"6,57","5,77","6,21","7,08"
QP093006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QP093007,0,1434.0,,"1,2",,"4,1",,,"3,3","14,3","46,2","29,9","6,3",,,"14,3","51,8","25,9","4,7",,,,,,,,,,,,,"5,36","4,98","5,38","5,69"
QP093008,0,959.0,51.0,"3,9","3,4",5,,,"9,5","23,6","25,9","32,5","8,6",,"5,7","29,1",32,"24,3","6,9",,,85,,,,,,85,,"9,7",,"6,52","5,28","5,8","6,18"
QP093009,0,4571.0,65.0,"1,8",1,"4,1",,,"4,1","22,8",37,"29,6","6,6","2,2",3,"36,9","39,3","17,8",,,7,"76,1","7,9",,,"7,5","6,3","62,7","25,3","4,8","0,9","6,56","5,53","6,15","7,16"
QP093010,0,2464.0,,"1,3",,"4,2",,,"10,5",17,"51,6","15,1","5,9","10,3",,"49,5","24,3",,11,,,"65,3",,,"29,1",,11,"49,6","28,7",,,"6,3","5,35","6,3","7,33"
QP093011,0,7835.0,154.0,"4,7","3,3","5,5",,,"5,1","22,5","36,9","28,8","6,7","1,1","5,6","30,8","38,4","16,5","3,6",4,,"71,3","17,2","3,4",,"5,8",1,"77,9","16,3","3,2","1,6","5,98","5,14","5,79","6,78"
QP093012,0,1304.0,,,,"4,9",,,"5,7","19,1","54,4",13,"7,9","5,6","10,4","55,5","17,6","9,5",,,,"82,2",,,14,,,"82,1",,,,"6,58","6,03","6,78","6,97"
QP093013,0,1317.0,,"1,9","1,2","3,7",,,"1,1","14,4","48,7",23,"12,8",,,"42,8","34,5","21,4",,,,,,,,,,,,,,"5,62","4,89","5,48","6,25"
QP093014,0,8613.0,,1,"0,4","4,2","99,8","0,2","5,5","21,6","39,4","24,9","8,6","2,6","5,3","43,3","34,6","12,8",,,"1,2","74,5","2,4","4,4","7,2","10,2","2,5","57,4","33,9","5,5","0,7","6,52","5,69","6,36",7
QP093015,0,1987.0,,"2,1","1,1","5,3",,,"7,9","21,5",46,"22,2","2,4","1,4","6,9","28,2","43,2","19,6",,,"9,8","29,2","48,9","9,2",,,,"65,3","33,9",,,"5,89","5,36","5,78","6,33"
QP093016,0,1006.0,,"1,4",,"5,3",92,8,"7,5","14,9","33,7","32,3","11,6",,7,"25,4",34,"27,9",,,,"59,6","14,9","12,2","9,3",,"3,1","39,8","55,2",,,"6,66","5,41","6,6","7,69"
QP093017,0,637.0,,,,"3,2",,,"3,1","23,5","35,2","24,5","13,7",,,"23,2","55,4","16,8",,,,"32,8",56,"9,3",,,,"56,2",,"28,6",,"7,04","5,94","6,67","7,78"
QP093018,0,4658.0,,"1,3","0,3","5,1","99,7","0,3","8,9","24,8",38,"23,4","4,9","5,3","6,2","41,3","40,6","5,9",,,,"75,4","16,1",,"4,3",4,"1,4","68,5","24,9","3,5","1,7","6,48","5,82","6,22","6,86"
QP093019,0,1018.0,,"1,8",,"4,1",,,"8,3","26,3","39,4","18,2","7,9","4,3",,"33,8","39,4","16,8","2,8",,,"23,6","58,9","11,9",,,"1,7","23,6","63,4","1,7","9,7","7,29","6,33","6,84","7,45"
QP093020,0,684.0,,"2,5","2,5",,,,"6,9","11,7",37,"39,8","4,7",,"4,7",14,"74,9","4,7",,,,"69,4",,,,,,86,,,,"6,11","5,56","5,81","6,12"
QP093021,0,2167.0,,"11,1","9,7","2,6","97,9","2,1","2,3","30,5","39,5","21,9","5,8",,"2,6","55,3","33,7","4,6","2,2",,,"86,2",,,,11,"0,9","76,4","4,2","10,8","7,7","6,67","5,98","6,62","7,14"
QP093022,0,721.0,,"1,5",,"4,1",,,"8,6","20,9",44,"19,3","7,2","6,9","12,2","56,9","18,2",,,,,"96,1",,,,,,"96,1",,,,"6,09","5,7","6,2","6,57"
QP093023,0,956.0,,"1,3",,"5,2",,,"5,3","18,2","36,3","28,6","11,6","2,2","3,3","18,2","42,8","19,9","11,9","1,7","3,9",,"84,1",,,"9,8",,"64,5","28,9","3,7",,"6,72","6,03","6,64","7,06"
QP093024,0,1299.0,13.0,"2,7","1,2","6,2",,,"8,9","26,9","36,7","22,2","5,2",4,"8,2","25,3","41,1","19,1",,,"10,4","12,1","27,3","23,4","7,6","19,2","8,1","25,9","41,3","20,9","3,8","8,37",7,"7,66","9,13"
QP093025,0,720.0,,2,,"5,2","97,2","2,8","6,3","13,2","38,3","35,3","6,9",,"6,4","47,6","42,8",,,,,"78,6",,,,,,"78,6","18,9",,,"6,33","5,97","6,31","6,71"
QP093026,0,754.0,,,,"5,5",,,"7,6","19,1","46,8","23,3","3,2",,"13,5","34,7","30,2","16,3",,,,"72,3",,"15,5",,,,"84,2",,,,"6,29","5,46","5,95","6,86"
QP093027,0,796.0,15.0,"5,5","3,2",,,,,,"31,4",32,"22,1",,,,"63,1","22,5",,,,"98,1",,,,,,"98,1",,,,"5,82","5,6","5,78","5,86"
QP093028,0,22083.0,189.0,"2,3","1,3","5,3",99,1,"8,8","22,2","36,9","23,4","8,7","5,8",6,"34,5","33,7","15,3","3,4","1,4","4,4","53,8","13,3","9,7","7,5","11,3","3,7","57,3","28,3","7,9","2,8","6,82","5,87","6,59","7,48"
QP093029,0,1167.0,,"3,4","2,3","2,3",,,"4,6","18,3","39,7","28,9","8,6",,"3,9","19,6","48,5","23,7",,,,,"98,2",,,,,"50,5","34,8",,,"6,53","5,76","6,62","7,23"
QP093030,0,2551.0,25.0,"1,4",1,"3,1","95,7","4,3","4,9","11,9",42,"35,1","6,1","4,4","6,1","51,3","35,5",,,,8,"90,7",,,,,5,"20,5","31,9","6,5","35,9","7,01","5,92","6,59","7,75"
QP093031,0,1884.0,,"3,2","1,8","3,4",,,"4,6","14,8","40,6","34,2","5,8","3,5","1,6","29,2",53,"11,8",,,,"92,2",,"3,9",,"2,2",,"61,3","6,8",,"30,7","6,89","6,06","6,7","7,87"
QP093032,0,578.0,,,,"3,3",,,,37,"26,3","30,3",,,,"36,9",50,"7,4",,,,"78,5",,,,,,"85,5",,,,6,"5,32","5,78","6,37"
QP093033,0,718.0,,,,"4,8",,,"3,1","14,3","48,9","29,4","4,3",,"1,8","18,8","60,4","17,3",,,,46,"25,2","25,5",,,"3,2","49,3","39,8","4,7","2,9","6,43","5,51","6,22","7,25"
QP093034,0,542.0,,4,"3,2","2,5",,,,,"40,6","34,9",,,,"56,3","41,1",,,,,"94,1",,,,,,"94,1","3,7",,,"5,92","5,51","5,86","6,2"
QP093035,0,2159.0,,"1,3",,"5,7","98,9","1,1",3,"22,5","37,7","32,3","4,5",,"2,4","37,1","39,3","17,4",3,,,"39,1","42,8",,"5,7","11,9","2,4","42,8","43,9","4,7","6,3","6,55","5,81","6,35","6,97"
QP093036,0,373.0,,,,"6,8",,,"4,6","17,7","44,8","27,1","5,9",,,"65,4","24,4","5,6",,,,,,,,,,,,,,"6,46","5,93","6,32","6,84"
QP093037,0,636.0,,"1,8",,"5,5","95,4","4,6","5,7","26,1","43,6","20,3","4,4",,"10,4","35,1","38,4","13,4",,,"21,4",,,"22,2","52,2",,"16,5",,"58,8","13,2",,"7,79","7,16","7,67","8,21"
QP093038,0,248.0,,,,,,,6,"20,2","43,1","26,2","4,4",,"4,8",21,"39,9","29,8",,,,,,"89,1",,,,,"89,5",,,"8,1","7,39","7,92","8,55"
QP093039,0,7712.0,39.0,"1,6","0,4","5,7","99,3","0,7","9,3","22,5","40,6","21,6","6,1","4,9","5,1",38,"34,1","14,7","2,9","0,3","8,1","34,2","30,7","14,6","6,7","5,8","1,9","49,6","40,8",4,"3,8","7,14","6,21","6,79","7,67"
QP093040,0,2298.0,,"1,1",,4,,,"5,4","16,2","41,4","30,7","6,3",,"3,5","17,5","59,5","17,9","0,8",,,"96,6",,,,,,"68,5","2,7","28,2",,"6,73","5,68","6,24","7,63"
QP093041,0,344.0,,,,,,,52,"18,9","17,4","8,1","3,5","49,7",,"22,4","12,8","8,7",,,27,,,,"16,9","52,9","20,6",,"63,1",,,"7,57","6,83","7,64","8,06"
QP093042,0,1938.0,78.0,"2,5","1,7","5,1",,,"5,8","25,5","35,8","26,8","6,1",,"8,3","31,8","48,2","6,1",,,"22,1","57,1",,,"7,3","6,8","2,5","78,4",15,"1,7","2,5","6,65","6,03","6,5","6,95"
QP093043,0,2287.0,29.0,"1,2",,"3,9","97,9","2,1","13,9","23,7","34,4","22,1","5,8","10,5","2,8","28,1","42,1","15,2",,,,"63,7","1,7","12,7","20,1",,"2,7","65,5","27,9","1,7","2,2","6,62","5,72","6,17","7,39"
QP093044,0,866.0,,"2,8",2,"2,2",,,,"40,9","44,6","10,2",,,"29,9","33,7",29,,,,"35,7",37,"24,8",,,,,"96,1",,"2,1",,"6,32","5,22","6,04","7,27"
QP093045,0,1604.0,,2,"1,4","3,9",,,"5,9","23,9","42,8","22,6","4,8","2,4","5,5","25,6","50,6","14,8",,,"4,6","41,9","33,4",17,,,,"50,3","46,1",,,"6,53","5,88","6,41","7,31"
QP093046,0,1040.0,,"2,3",,"4,1",,,4,"21,3","44,7","25,8","4,1",,"12,2","30,9","46,9",8,,,,,,,,,,,,,,"5,67","5,22","5,55","6,14"
QP093047,0,784.0,,"2,6","2,1",3,,,"6,5","21,3","46,3","23,3","2,6","2,8","5,6","20,4","51,1","18,1",,,"6,6",,"74,4","11,2",5,,"1,7","46,3","44,9","4,2","2,9","7,08","6,01","6,59","8,02"
QP093048,0,5479.0,,"2,7","1,7","4,8","89,1","10,9","4,7","16,4","34,1","28,6","16,2",3,"7,9","26,6","25,9","24,1","8,4",4,"28,2","47,5","7,8","7,5","6,6","2,5",,"79,6","18,9","1,1",,"5,52","3,85","5,67","6,36"
QP093049,0,2224.0,,"2,3","1,5","4,3","94,6","5,4","8,8",22,"31,1","30,5","7,6",,"6,3","29,5","38,9","21,8","2,2",,"2,5","46,8","23,3",17,"8,7","1,8",,"51,8","44,4",,"2,6","6,72","5,86","6,53","7,41"
QP093050,0,1447.0,,"0,9",,"2,7",,,"1,8","20,9","37,2","31,9","8,2",,,"21,8","52,7","19,7","4,9",,,"89,5",,,"7,4",,"1,9","89,1","7,3",,,"5,59","5,09","5,51","5,89"
QP093051,0,1598.0,,"1,9","1,3","4,2",,,"2,2","28,3","38,3","27,2",4,,,"20,7","54,8","20,3","3,1",,,"69,8","18,1",,,,,"69,8",,18,,"5,95","5,02","5,59","6,94"
QP093052,0,2142.0,,"1,1",,"4,9","97,3","2,7","4,3","12,7","46,5","29,5",7,,"3,2","11,6","55,6","23,1","5,6",,,"50,2","42,7",,,"5,2",,"57,1","35,8",,,"6,09","5,43","6,04","6,73"
QP093053,0,2217.0,,"1,4",,"5,6",,,"4,5",21,"37,8","29,5","7,2","2,2","1,7","22,6","51,8","20,6",,,,"54,8",15,"17,5",,"9,6",,"65,7","26,7","5,7",,"6,78","5,73","6,28","7,59"
QP093054,0,10330.0,20.0,"1,9","0,8","4,6","99,7","0,3","2,1","11,6","42,4","35,2","8,8",,"3,4","20,5","56,5","18,3","0,9",,,"79,3","14,6",,"3,6","1,6","0,2","81,5","17,2","0,5","0,7","6,39","5,62","6,53","7,25"
QP093055,0,4037.0,,2,1,"5,1",,,"6,5","25,4","40,1","24,6","3,4","0,7",4,"37,4","49,3","8,2",,,"13,5","85,8",,,,,"3,2","84,9","6,9","4,3","0,7","6,48","5,5","6,19","7,23"
