code_qpv,iris_controle,distance_pauvrete
QP012002,123000105,32.80482599254343
QP012002,123000102,33.37708951412789
QP012002,123000104,35.406912232833065
QP012002,123000106,38.49357290968682
QP013001,130540106,18.236890756862806
QP013001,130540111,24.75210033262141
QP013001,130540112,29.478260295799128
QP013001,130540115,30.35244760608326
QP013001,130540108,44.695028949209295
QP013002,130140103,4.703607567038116
QP013002,130140102,15.017521372916528
QP013002,130140104,16.4214542188014
QP013002,130140106,
QP013006,130270105,7.022569724392959
QP013006,130270102,23.87375872655913
QP013006,130270101,24.032693234470297
QP013006,130270106,27.100590574748452
QP013006,130270103,
QP013007,131060101,35.191077674732604
QP013007,131060103,45.352387521576176
QP013007,131060102,45.742486505310815
QP013007,131060104,
QP013010,130040113,2.6885382662313617
QP013010,130040105,8.951442187052535
QP013010,130040101,17.201504913247412
QP013010,130040103,20.12271246387886
QP013010,130040102,24.458823154761717
QP013011,130040113,3.921871599564696
QP013011,130040105,7.718108853719201
QP013011,130040101,15.968171579914078
QP013011,130040103,18.889379130545525
QP013011,130040102,23.225489821428383
QP013012,130040113,4.888538266231372
QP013012,130040105,6.751442187052525
QP013012,130040101,15.001504913247402
QP013012,130040103,17.92271246387885
QP013012,130040102,22.258823154761707
QP013013,131080105,4.255854066752995
QP013013,131080104,7.027921738499792
QP013013,131080103,32.41398864920927
QP013013,131080101,33.94859022520349
QP013013,131080102,34.167048676738474
QP013014,130010102,6.061087592286398
QP013014,130010306,6.25145762470207
QP013014,130010105,7.3630749240543025
QP013014,130010104,10.385925649041528
QP013014,130010403,10.603120399159778
QP013015,130010102,18.12775425895307
QP013015,130010306,18.31812429136874
QP013015,130010105,19.429741590720973
QP013015,130010104,22.4525923157082
QP013015,130010403,22.669787065826448
QP013016,130010102,10.927754258953058
QP013016,130010306,11.11812429136873
QP013016,130010105,12.229741590720963
QP013016,130010104,15.252592315708188
QP013016,130010403,15.469787065826438
QP013017,130010102,17.161087592286393
QP013017,130010306,17.351457624702064
QP013017,130010105,18.463074924054297
QP013017,130010104,21.485925649041523
QP013017,130010403,21.703120399159772
QP013018,131170103,2.9123629936954956
QP013018,131170104,12.22612232911727
QP013018,131170102,15.968019312268826
QP013018,131170107,20.13554317973132
QP013018,131170209,25.881466171656538
QP013019,131170104,5.459455662450605
QP013019,131170102,9.20135264560216
QP013019,131170103,9.679029660362161
QP013019,131170107,13.368876513064656
QP013019,131170209,19.114799504989872
QP013020,130050502,9.910391651289824
QP013020,130050402,10.90797330349194
QP013020,130050101,11.065058559373295
QP013020,130050102,14.967258943843756
QP013020,130050301,16.947793725555975
QP013021,130560109,17.173629619764238
QP013021,130560105,18.932777711122732
QP013021,130560118,19.694493055551725
QP013021,130560108,20.20191260761157
QP013021,130560106,25.59904991397733
QP013022,130560109,15.006962953097567
QP013022,130560105,16.76611104445606
QP013022,130560118,17.527826388885053
QP013022,130560108,18.035245940944897
QP013022,130560106,23.432383247310657
QP013023,130560109,7.373629619764227
QP013023,130560105,9.13277771112272
QP013023,130560118,9.894493055551713
QP013023,130560108,10.401912607611557
QP013023,130560106,15.799049913977317
QP013024,130770101,6.7569074778200715
QP013024,130770103,8.647639791075783
QP013024,130770104,20.63359443376741
QP013024,130770102,21.63851423005733
QP013024,130770105,22.200910223523277
QP013025,130770103,0.21902687559088463
QP013025,130770101,2.1097591888465956
QP013025,130770104,11.766927767100743
QP013025,130770102,12.771847563390661
QP013025,130770105,13.33424355685661
QP013028,130140103,12.303607567038124
QP013028,130140102,22.617521372916535
QP013028,130140104,24.02145421880141
QP013028,130140106,
QP013029,131030105,22.86095045777647
QP013029,131030104,31.356275447055406
QP013029,131030103,31.963760403053374
QP013029,131030101,34.76028262984794
QP013029,131030108,34.85353774138458
QP013030,131030105,8.860950457776472
QP013030,131030104,17.356275447055406
QP013030,131030103,17.963760403053374
QP013030,131030101,20.760282629847943
QP013030,131030108,20.853537741384578
QP013031,130540106,0.32977590980386395
QP013031,130540111,6.18543366595474
QP013031,130540112,10.911593629132458
QP013031,130540115,11.78578093941659
QP013031,130540108,26.128362282542625
QP013061,130470102,7.912166757691185
QP013061,130470116,14.71154700611773
QP013061,130470103,17.331049511314138
QP013061,130470106,18.391806650037
