IRIS,pop_2013,pop_2018,evol_pop_pct
131060103,3298.095852058322,3312.04949461179,0.4230817774674378
131060104,2329.3979437024823,2271.97217855297,-2.4652621208309466
131080101,2472.675923748929,2482.15579138993,0.38338496160985613
131080102,4161.157728311939,3907.74822873869,-6.089879694996547
131080103,2260.497612936925,3114.0323995213,37.75871213928996
131080104,2169.6082985731136,2231.23243783103,2.840334787548726
131080105,2877.060436429094,3459.83114251904,20.25576865577634
131170102,1779.1648882206025,1647.09267609852,-7.423269928296072
131170103,3050.91740767862,2953.05882255467,-3.2075134147406703
131170104,1739.538617919046,1755.55836278857,0.9209191853807752
131170107,2257.390302823853,2094.10692444199,-7.233280756881322
131170209,2394.694148255821,2300.23638123565,-3.9444605938077526
141180902,1624.5166714422028,1662.16396927384,2.3174460744816328
141180904,1404.0842074975426,1478.77614791812,5.319619722359703
141181501,1631.830637188281,1821.60424093376,11.629491408034088
141182004,1813.0438216865844,1723.98095886434,-4.912339225170726
141182007,2601.665751404657,2471.93870286988,-4.986307271206392
143270301,801.6507218329729,1179.72477775194,47.16194292877347
143270302,1657.4628401891257,1803.79508673982,8.828689428355263
143270401,3160.7251151818505,3459.35475862213,9.4481371380851
143270501,2336.877968152984,2313.05123083579,-1.0195969854611575
143270602,1734.2559225138891,1623.94072661186,-6.36095252551433
143660201,2134.693722988162,2119.19505461041,-0.7260370989453646
143660301,1898.7031098210048,1599.13880447468,-15.777311565817442
143660302,1760.407029425056,1991.39954939922,13.121540422933077
143660303,1951.72736837462,1649.21169735438,-15.499893884880667
143660701,2799.4491818246224,2518.13388537755,-10.048951710697496
150140102,2343.6432482625664,2319.27300901706,-1.0398442366846172
150140104,2149.206868721324,2115.17550539139,-1.5834382359936061
150140105,1886.848485344413,1613.84700923798,-14.468648554820284
150140108,2008.193474981961,1928.473517415,-3.9697349164864226
150140111,1762.0983539571992,1587.3866595554,-9.914979717757733
160150101,3014.2822481822304,3036.99889429279,0.753633675952492
160150403,1990.5588430486864,1864.58037626365,-6.328798931263513
160150502,2771.844030154597,2556.72481096641,-7.760870267155284
160150703,1106.935244218888,1193.92097330428,7.858249119782412
160150704,2573.5568465171546,2337.26320250994,-9.181598002274372
161020102,2506.1680430745564,2711.37228724804,8.187968270545
161020201,2714.1496211043755,2792.78933879244,2.8973980312871017
161020202,2543.251085154928,2485.07178746366,-2.2875955123292213
161020301,2674.7869227159304,2615.96558745978,-2.199103590517937
161020302,3268.4559780256304,3020.66140829087,-7.5813953561169045
163740102,2564.0678753184584,2478.10075844167,-3.3527629164696315
163740103,2109.482829733952,2215.43048456555,5.02244689258553
163740104,1560.7152200895584,1711.12867253497,9.637469444091185
163740105,2671.618276068245,2631.09576871497,-1.5167775919287085
172990101,2931.4883063981674,2751.08539785488,-6.153969918609137
172990102,2487.6662539154822,2501.56228303297,0.5585970021346753
172990201,3418.121915280489,3214.7730065075,-5.949141482166875
172990301,2880.861061737836,2818.04268673339,-2.180541638705469
172990401,2068.2560244407414,1990.54635737913,-3.757255685142946
173000102,2296.814958060716,2073.98990068268,-9.70148059146111
173000103,2109.9593436527266,2460.08187179021,16.593804482097596
173000402,2649.319409049121,2574.26762455545,-2.832870368039475
173000502,1078.3357916339044,1051.10154887827,-2.525580896686064
173001001,2688.706409096639,2963.78597769737,10.230926205630354
173060102,1952.1175930694935,1772.4338978663,-9.204552832325042
173060103,2095.039147392408,2283.82198478912,9.010945577397965
173060104,1816.5589253106748,2163.96323106529,19.124307002328635
173060105,2200.1431948631675,2156.40825540478,-1.9878224090367658
173060107,3248.87739138287,3208.15965022092,-1.2532864819690404
174150101,2093.922412828735,1991.00665238573,-4.914974872635014
174150201,2159.06050489146,2191.73032813301,1.513149963492677
174150202,1811.011696677389,1774.36891904836,-2.023331914214377
174150301,3252.9109300369264,3165.23158159685,-2.69541190416428
174150402,1709.3618324838103,1605.86227144327,-6.054865568757261
180330401,2322.911133429293,1709.29426556501,-26.41585633792223
180330402,1887.048640432574,1480.16726698555,-21.561785145811264
180331002,1035.6408115133524,1137.30560204108,9.81660720565538
180331004,1407.2288446165892,1441.07283183811,2.405009487333376
180331102,1946.1718241394224,1343.14093847016,-30.985490499325074
181970101,3194.402611839854,2806.91367535484,-12.130247297219531
181970102,1756.615907857402,1714.57737970524,-2.3931542441419373
181970103,2567.7296775280474,2402.04178160434,-6.452700117685872
181970104,2719.2518027746983,2607.46716333558,-4.110860175767983
182790101,1732.9342349157178,1739.32106062886,0.3685555738041524
182790102,2571.125866552372,2433.05040128494,-5.370233603249364
182790801,2854.737866240948,2681.77570462433,-6.058775611659584
182790901,1945.0649046901951,1808.78949633871,-7.006213932649752
182791001,1988.16114670608,2002.70166217124,0.7313549753876991
190310101,1650.1764291965565,1533.43663525775,-7.074382585603001
190310203,2875.572991724387,2823.59676611636,-1.8075084777054662
190310403,1967.1417698909104,2045.86086170626,4.001698963451683
