code,nom_qp,insee_com,lib_com
QP083006,Centre Ville,83069,Hyères
QP083007,Val Des Rougières,83069,Hyères
QP083008,Berthe,83126,La Seyne-sur-Mer
QP083009,Centre Ville,83126,La Seyne-sur-Mer
QP083010,La Beaucaire,83137,Toulon
QP083011,La Florane,83137,Toulon
QP083012,Pontcarral,83137,Toulon
QP083013,Pont Du Las- Rodeilhac,83137,Toulon
QP083014,Beaulieu- Sainte Marie,83137,Toulon
QP083015,Sainte Musse,83137,Toulon
QP083016,Centre Ville,83137,Toulon
QP083017,Le Jonquet- La Baume- Le Guynemer,83137,Toulon
QP083019,Centre Ville - Le Vergeiras,83073,Le Luc
QP084007,Quartiers Centre Ancien Et Sud Ouest,84089,Pertuis
QP084017,Centre Ancien Et Quartier De Saint Michel,84003,Apt
QP084002,Monclar Champfleury Rocade Sud Barbière Croix Des Oiseaux,84007,Avignon
QP084003,Quartiers Nord Est,84007,Avignon
QP084004,Quartier De Saint Chamand,84007,Avignon
QP084005,Quartiers Camp Rambaud - Les Mérides,84092,Le Pontet
QP084006,Quartiers Joffre Et Centre Ville,,
QP084022,Nord Du Centre Ancien Giono Ouest,84019,Bollène
QP084008,Centre Ville,84031,Carpentras
QP084009,Amandier - Eléphants,84031,Carpentras
QP084010,Pous Du Plan,84031,Carpentras
QP084011,Quintine - Villemarie - Ubac - Le Parc,84031,Carpentras
QP084020,Quartiers Dr Ayme Condamines Barillon Saint Martin Bon Puits Saint Gilles Ratacans,84035,Cavaillon
QP084021,Quartiers La Clède Gare Route De Pertuis Saint Anne,84035,Cavaillon
QP084018,Quartiers Nord - Ouest,84054,L'Isle-sur-la-Sorgue
QP084016,Quartiers Du Vieux Moulin Aux Mûriers,84080,Monteux
QP084001,Quartiers Griffons Et Centre Ville,84129,Sorgues
QP084012,Fourchevieilles Comtadines L'Aygues,84087,Orange
QP084013,Quartiers Nogent Saint Clément,84087,Orange
QP084014,Quartiers Générat Establet,84129,Sorgues
QP084015,Quartier De Chaffunes,84129,Sorgues
QP084019,Centre ancien - Les Tours - La Gaillarde - Mistral - Sévigné,84138,Valréas
QP085004,Centre - Moulins Liots,85092,Fontenay-le-Comte
QP085001,Jean Yole - Pyramides,85191,La Roche-sur-Yon
QP085002,Vigne-aux-Roses,85191,La Roche-sur-Yon
QP085003,Liberté - Zola,85191,La Roche-sur-Yon
QP086003,Bel Air,86194,Poitiers
QP086004,Trois Cités,86194; 86214,Poitiers; Saint-Benoît
QP086005,Couronneries,86041; 86194,Buxerolles; Poitiers
QP086006,Beaulieu,86194,Poitiers
QP086001,Lac Renardières Ozon,86066,Châtellerault
QP086002,Châteauneuf Centre Ville,86066,Châtellerault
QP087001,Portes Ferrées,87085,Limoges
QP087002,La Bastide,87085,Limoges
