code,pop_2013,pop_2018,evol_pop_pct
QP038019,1417.0,1368.0,-3.4580098800282233
QP038020,1083.0,1150.0,6.186518928901208
QP038021,1253.0,1206.0,-3.750997605746209
QP038022,1182.0,1114.0,-5.752961082910324
QP038023,2107.0,2025.0,-3.891789273849078
QP038024,2641.0,2669.0,1.0602044680045442
QP038025,1572.0,1597.0,1.5903307888040619
QP038026,1672.0,1714.0,2.511961722488043
QP039001,2696.0,3025.0,12.20326409495549
QP039002,3580.0,3754.0,4.8603351955307295
QP039003,1322.0,1067.0,-19.28895612708018
QP039004,975.0,772.0,-20.820512820512814
QP040001,1283.0,1223.0,-4.6765393608729555
QP040002,1229.0,1238.0,0.7323026851098424
QP040003,1233.0,1341.0,8.75912408759123
QP040004,2405.0,2787.0,15.883575883575872
QP040005,1381.0,1295.0,-6.227371469949317
QP041001,10703.0,10843.0,1.3080444735120933
QP041002,3202.0,3038.0,-5.121798875702687
QP041003,1348.0,1279.0,-5.118694362017806
QP042001,1257.0,1110.0,-11.694510739856801
QP042002,3168.0,2983.0,-5.839646464646464
QP042003,1259.0,1236.0,-1.8268467037331204
QP042004,1108.0,833.0,-24.819494584837543
QP042005,1450.0,1429.0,-1.4482758620689706
QP042006,2416.0,2187.0,-9.47847682119205
QP042007,1186.0,1255.0,5.817875210792578
QP042008,2111.0,1918.0,-9.142586451918522
QP042009,2942.0,2607.0,-11.38681169272604
QP042010,1156.0,899.0,-22.231833910034602
QP042011,3174.0,3050.0,-3.906742281033393
QP042012,7606.0,7771.0,2.169339994741004
QP042013,7324.0,6294.0,-14.063353358820319
QP042014,5174.0,5067.0,-2.0680324700425246
QP042015,2243.0,1259.0,-43.86981720909496
QP042016,1882.0,1394.0,-25.929861849096703
QP042017,1972.0,1669.0,-15.36511156186613
QP042018,1538.0,1190.0,-22.62678803641093
QP042019,872.0,938.0,7.568807339449535
QP043001,1371.0,1191.0,-13.12910284463895
QP043002,1122.0,1426.0,27.09447415329769
QP044001,6735.0,7072.0,5.003711952487011
QP044002,1008.0,1027.0,1.8849206349206282
QP044003,1109.0,1090.0,-1.7132551848512145
QP044004,1309.0,1325.0,1.2223071046600475
QP044005,16918.0,16290.0,-3.712022697718409
QP044006,5075.0,5375.0,5.9113300492610765
QP044007,3575.0,3917.0,9.566433566433563
QP044008,5166.0,5628.0,8.943089430894302
QP044009,1927.0,1657.0,-14.011416709911783
QP044010,1733.0,1713.0,-1.1540680900173128
QP044011,1275.0,1615.0,26.66666666666666
QP044012,1164.0,1428.0,22.68041237113403
QP044013,3130.0,3486.0,11.373801916932912
QP044014,5207.0,5757.0,10.562704052237383
QP044015,1437.0,1492.0,3.82741823242867
QP044016,1100.0,1089.0,-1.0000000000000009
QP044017,1689.0,1523.0,-9.828300769686205
QP044018,2967.0,2785.0,-6.134142231209971
QP044019,1539.0,1097.0,-28.71994801819363
QP045001,984.0,1040.0,5.691056910569103
QP045002,1193.0,1060.0,-11.14836546521375
QP045003,3913.0,4487.0,14.66905187835421
QP045004,3009.0,3453.0,14.755732801595212
QP045005,1969.0,1732.0,-12.036566785170134
QP045006,1720.0,1687.0,-1.9186046511627919
QP045007,2010.0,1950.0,-2.985074626865669
QP045008,1166.0,1088.0,-6.689536878216118
QP045009,1337.0,1573.0,17.651458489154813
QP045010,11261.0,11284.0,0.20424473847793223
QP045011,7972.0,7471.0,-6.28449573507276
QP045012,1514.0,1452.0,-4.095112285336855
QP045013,1223.0,1243.0,1.6353229762878119
QP045014,2479.0,2291.0,-7.583703106091166
