code_qpv,iris_controle,distance_pauvrete,niveau
QP059063,591830401,6.329797346113718,commune
QP059063,591831902,6.60982598085695,commune
QP059064,592710402,2.0429042925990117,commune
QP059064,592710401,2.807487641924787,commune
QP059064,592710301,5.126475158759611,commune
QP059064,592710601,10.073726222360278,commune
QP059064,592710501,18.332026141639417,commune
QP059066,590090603,10.040962306850233,commune
QP059066,590090704,15.185974473863258,commune
QP059066,590090502,16.669214177569778,commune
QP059066,590090705,17.369896842223167,commune
QP059066,590090103,21.034482464809678,commune
QP059067,590090603,4.807628973516898,commune
QP059067,590090704,9.952641140529924,commune
QP059067,590090502,11.435880844236443,commune
QP059067,590090705,12.136563508889832,commune
QP059067,590090103,15.801149131476343,commune
QP059068,590090603,1.6409623068502341,commune
QP059068,590090704,6.785974473863259,commune
QP059068,590090502,8.26921417756978,commune
QP059068,590090705,8.969896842223168,commune
QP059068,590090103,12.634482464809679,commune
QP059069,590170303,2.1541011176266096,commune
QP059069,590170103,6.773682001604335,commune
QP059069,590170102,7.965988182115691,commune
QP059069,590170304,9.393699638441827,commune
QP059069,590170305,9.838442244712883,commune
QP059070,590170303,0.9541011176266139,commune
QP059070,590170103,5.57368200160434,commune
QP059070,590170102,6.765988182115695,commune
QP059070,590170304,8.193699638441831,commune
QP059070,590170305,8.638442244712888,commune
QP059071,592990301,4.367520287142021,commune
QP059071,592990302,5.743211957690484,commune
QP059071,592990303,8.716228399699496,commune
QP059071,592990103,16.943066636221417,commune
QP059071,592990102,22.48177823608619,commune
QP059072,593280501,23.692601226997965,commune
QP059072,593280201,24.766727493917237,commune
QP059072,593280103,26.635464231354646,commune
QP059072,593280302,31.521990116337918,commune
QP059072,593280101,,commune
QP059073,593500603,2.372485367402277,commune
QP059073,593500804,2.414949586308751,commune
QP059073,593500706,2.8044325966981205,commune
QP059073,593500711,3.9177766900907827,commune
QP059073,593500402,5.14808804446902,commune
QP059074,592200101,19.99065457447092,commune
QP059074,592200103,27.670426370909468,commune
QP059074,592200102,33.47203708202601,commune
QP059074,592200204,34.79055875726359,commune
QP059074,592200202,,commune
QP059075,593500703,0.05961160752980277,commune
QP059075,593500303,0.6612109449112324,commune
QP059075,593501003,0.6762814280305491,commune
QP059075,593500702,0.8372890605096899,commune
QP059075,593500408,1.2110046827903318,commune
QP059076,593500504,0.35003591334771755,commune
QP059076,593500408,1.855661983876324,commune
QP059076,593500707,2.9498210474568722,commune
QP059076,593500703,3.1262782741964585,commune
QP059076,593500502,3.3208496153774547,commune
QP059077,593600104,11.801600055755934,commune
QP059077,593600301,21.157967190933146,commune
QP059077,593600103,23.262145493610312,commune
QP059077,593600101,23.37648377909499,commune
QP059077,593600102,23.898487510316926,commune
QP059078,593600104,11.301600055755934,commune
QP059078,593600301,20.657967190933146,commune
QP059078,593600103,22.762145493610312,commune
QP059078,593600101,22.87648377909499,commune
QP059078,593600102,23.398487510316926,commune
QP059079,593780201,8.56805893273151,commune
QP059079,593780403,26.126873326395252,commune
QP059079,593780202,28.6978614527435,commune
QP059079,593780402,33.402660835870016,commune
QP059079,593780101,,commune
QP059080,590090603,3.4076289735168928,commune
QP059080,590090704,8.552641140529918,commune
QP059080,590090502,10.035880844236438,commune
QP059080,590090705,10.736563508889827,commune
QP059080,590090103,14.401149131476338,commune
QP059081,595070102,21.2771702796132,commune
QP059081,595070303,21.5561311528324,commune
QP059081,595070103,27.481486540891066,commune
QP059081,595070101,28.46037318693123,commune
QP059081,595070201,30.23444274107517,commune
QP059082,591630202,22.60407561642897,commune
QP059082,591630204,25.69637290331728,commune
QP059082,591630203,34.89193894692337,commune
QP059082,591630302,37.04343513293575,commune
QP059082,591630102,37.99036189640764,commune
QP059083,595120301,0.12102770609336488,commune
QP059083,595120302,0.25131732001841556,commune
QP059083,595120603,0.7871701264282294,commune
QP059083,595120802,1.2257370038340767,commune
QP059083,595120602,1.6689188345700643,commune
QP059084,595600101,34.0885344576094,commune
QP059084,595600102,38.99158068782632,commune
QP059085,595991002,0.5345275169219192,commune
QP059085,595991202,1.4899227081220374,commune
QP059085,595990701,2.029529797754577,commune
QP059085,595990601,4.130230112215379,commune
QP059085,595991302,5.050904278666447,commune
QP059086,595990701,0.8371368689120899,commune
QP059086,595991002,2.332139149744748,commune
QP059086,595991202,4.356589374788705,commune
QP059086,595991401,5.6350256835129,commune
QP059086,595990601,6.996896778882046,commune
QP059087,595991403,1.9257748413263798,commune
QP059087,595991401,9.8649743164871,commune
QP059087,595990701,16.33713686891209,commune
QP059087,595991002,17.832139149744748,commune
QP059087,595991202,19.856589374788705,commune
QP059088,595991202,0.9899227081220374,commune
QP059088,595991002,1.0345275169219192,commune
QP059088,595990701,2.529529797754577,commune
QP059088,595990601,3.6302301122153793,commune
QP059088,595991302,4.550904278666447,commune
QP059089,596480103,20.406539415469183,commune
QP059089,596480104,29.96313620838314,commune
QP059089,596480101,,commune
QP059089,596480102,,commune
QP059089,596480203,,commune
QP059090,595990701,2.83713686891209,commune
QP059090,595991401,3.6350256835129002,commune
QP059090,595991002,4.332139149744748,commune
QP059090,595991202,6.356589374788705,commune
QP059090,595990601,8.996896778882046,commune
QP059091,596500104,0.2635498988979279,commune
QP059091,596500101,2.4451161714098433,commune
QP059091,596500103,5.415215640562778,commune
QP059091,596500202,7.072060474728403,commune
QP059091,596500102,13.408173420948916,commune
QP060001,601750204,2.344568202751745,commune
QP060001,601750202,5.114992889940922,commune
QP060001,601750302,6.177154173517373,commune
QP060001,601750401,6.964841687874454,commune
QP060001,601750201,8.216703456742152,commune
QP060002,604140301,23.25109869503568,commune
QP060002,604140201,24.366426297175632,commune
QP060002,604140501,,commune
QP060003,604630401,5.286747188185785,commune
QP060003,604630101,16.690986247951653,commune
QP060003,604630501,26.307405152907116,commune
QP060003,604630402,29.982950666844967,commune
QP060003,604630202,29.998013750463485,commune
QP060004,604630401,2.7867471881857853,commune
QP060004,604630101,14.190986247951653,commune
QP060004,604630501,23.807405152907116,commune
QP060004,604630402,27.482950666844967,commune
QP060004,604630202,27.498013750463485,commune
QP060005,601750401,2.7351583121255487,unite_urbaine
QP060005,601750302,3.52284582648263,unite_urbaine
QP060005,601750103,4.180629826594625,unite_urbaine
QP060005,601750202,4.585007110059081,unite_urbaine
QP060005,604630401,5.313252811814209,unite_urbaine
QP060006,601590201,14.372855989600144,commune
QP060006,601591001,15.643778216721799,commune
QP060006,601590501,16.563189589965422,commune
QP060006,601590801,18.721281071556565,commune
QP060006,601590301,24.58495196681446,commune
QP060007,601590201,17.439522656266814,commune
QP060007,601591001,18.71044488338847,commune
QP060007,601590501,19.62985625663209,commune
QP060007,601590801,21.787947738223234,commune
QP060007,601590301,27.65161863348113,commune
QP060008,601590201,7.639522656266816,commune
QP060008,601591001,8.910444883388472,commune
QP060008,601590501,9.829856256632095,commune
QP060008,601590801,11.987947738223237,commune
QP060008,601590301,17.851618633481134,commune
QP060009,600570702,14.759925196402648,commune
QP060009,600570401,21.185483581544048,commune
QP060009,600570303,30.40394555889459,commune
QP060009,600570101,30.66618303139568,commune
QP060009,600570302,32.443936398746295,commune
QP060010,600570702,13.593258529735984,commune
QP060010,600570401,20.018816914877384,commune
QP060010,600570303,29.237278892227927,commune
QP060010,600570101,29.499516364729015,commune
QP060010,600570302,31.27726973207963,commune
QP060011,600570702,10.826591863069318,commune
QP060011,600570401,17.252150248210718,commune
QP060011,600570303,26.47061222556126,commune
QP060011,600570101,26.73284969806235,commune
QP060011,600570302,28.510603065412965,commune
QP060012,605090501,16.54955378068094,commune
QP060012,605090201,21.856668955153665,commune
QP060012,605090101,35.03134024165939,commune
QP060012,605090301,,commune
QP060013,603950201,25.3339841869254,commune
QP060013,603950301,34.645376741504975,commune
QP060013,603950101,37.231765816346325,commune
QP060013,603950401,,commune
QP060013,603950601,,commune
QP060014,601570401,26.928167092275643,commune
QP060014,601570101,,commune
QP060014,601570201,,commune
QP060014,601570301,,commune
QP060015,601750401,2.468491645458883,unite_urbaine
QP060015,601750302,3.2561791598159644,unite_urbaine
QP060015,601750202,4.318340443392415,unite_urbaine
QP060015,601750103,4.447296493261291,unite_urbaine
QP060015,604630401,5.046586145147543,unite_urbaine
QP060016,601760701,17.7030373781799,commune
QP060016,601760301,19.303585657370512,commune
QP060016,601760401,21.091209747606612,commune
QP060016,601760201,,commune
QP060016,601760501,,commune
QP060017,604710701,14.160299117720182,commune
QP060017,604710101,14.953140163705239,commune
