code,revenu_median,taux_pauvrete,part_monoparental,part_locataires,annee,gini,s80s20
QP002006,13700.0,41.1,,65.3,2014,0.3,4.0
QP002007,12656.0,45.3,24.6,,2014,0.3,3.9
QP002008,12197.0,50.0,18.2,81.1,2014,0.3,3.6
QP002009,11375.0,56.8,24.4,,2014,0.2,3.1
QP002010,12302.0,48.9,19.1,,2014,0.2,3.3
QP002011,10940.0,59.8,22.1,90.2,2014,0.2,3.4
QP002012,12812.0,43.2,18.1,,2014,0.2,2.9
QP002013,11551.0,55.9,23.0,,2014,0.2,3.0
QP002014,10695.0,63.2,18.8,,2014,0.2,2.9
QP002015,13922.0,37.0,20.3,,2014,0.2,2.9
QP002016,13072.0,42.6,28.3,,2014,0.2,3.0
QP002017,12348.0,48.4,23.7,,2014,0.2,3.0
QP003001,13779.0,39.4,15.8,76.8,2014,0.3,3.9
QP003002,12862.0,43.5,22.9,,2014,0.2,3.0
QP003003,13615.0,39.8,19.2,88.0,2014,0.2,3.2
QP003004,13577.0,38.7,14.5,74.3,2014,0.3,3.8
QP003005,12840.0,43.5,,,2014,0.2,2.9
QP003006,11001.0,61.6,27.2,,2014,0.2,3.2
QP004001,13055.0,42.6,15.0,80.4,2014,0.3,3.9
QP004002,13929.0,36.4,14.2,69.8,2014,0.3,3.8
QP004003,12872.0,45.6,15.9,67.6,2014,0.2,3.4
QP005001,14392.0,36.2,18.6,67.9,2014,0.3,3.7
QP006001,14169.0,35.0,26.5,,2014,0.2,3.1
QP006002,13586.0,41.3,14.2,72.4,2014,0.3,3.8
QP006003,14615.0,31.0,20.7,82.9,2014,0.2,2.9
QP006004,14499.0,28.9,18.2,84.9,2014,0.2,2.7
QP006005,14088.0,37.4,18.1,75.1,2014,0.3,3.8
QP006006,13376.0,40.0,21.4,,2014,0.2,2.8
QP006007,13896.0,35.9,20.3,52.7,2014,0.2,3.2
QP006008,15195.0,28.8,21.0,,2014,0.2,2.8
QP006009,9411.0,81.8,,,2014,0.2,3.9
QP006010,12648.0,46.4,23.3,,2014,0.2,3.0
QP006011,12121.0,50.6,,78.4,2014,0.2,3.7
QP006012,14222.0,37.2,13.5,66.0,2014,0.3,4.6
QP006013,13139.0,42.8,19.3,81.1,2014,0.2,3.3
QP006014,12736.0,46.0,15.2,69.6,2014,0.2,3.2
QP006015,14859.0,32.7,16.2,74.7,2014,0.3,4.0
QP006016,13411.0,45.4,17.1,68.8,2014,0.3,5.1
QP007001,12667.0,46.1,15.5,78.4,2014,0.3,4.0
QP007002,14025.0,38.8,14.2,69.7,2014,0.2,3.6
QP007003,12810.0,45.1,,78.3,2014,0.2,3.2
QP007004,12958.0,44.2,17.6,89.0,2014,0.2,3.3
QP007005,12818.0,44.6,14.8,,2014,0.2,3.5
