code,taux_pauvrete_pre,nom_qp,insee_com,lib_com
QP092005,30.400000000000002,Cité Jardins,92019,Châtenay-Malabry
QP092006,35.46666666666667,Chemin De L'île,92050,Nanterre
QP092007,34.199999999999996,Le Parc,92050,Nanterre
QP092008,35.26666666666667,Abbé Grégoire - Mirabeau,92007,Bagneux
QP092009,28.26666666666667,Tertres-Cuverons,92007; 92014; 92032; 92071,Bagneux; Bourg-la-Reine; Fontenay-aux-Roses; Sceaux
QP092010,29.666666666666668,Les Courtilles,92036,Gennevilliers
QP092011,31.733333333333334,Fossés Jean,92025,Colombes
QP092012,30.366666666666664,Hauts d'Asnières,92004,Asnières-sur-Seine
QP092013,31.600000000000005,Agnettes,92036,Gennevilliers
QP092015,36.9,Petit Colombes,92025,Colombes
QP092016,37.300000000000004,Petit Nanterre,92050,Nanterre
QP092018,38.03333333333333,Grésillons Voltaire II - Grésillons,92036,Gennevilliers
QP092019,30.03333333333333,AIRE 2029,92078,Villeneuve-la-Garenne
QP092020,29.566666666666666,Cité Des Musiciens,92007,Bagneux
QP092021,40.93333333333333,Les Musiciens,92025,Colombes
QP093001,38.0,Secteur Gare - Aviatic,93013,Le Bourget
QP093002,30.133333333333336,Secteur Saint-Nicolas - Guynemer - Gai Logis,93013,Le Bourget
QP093003,51.0,Haut Clichy - Centre Ville - Bosquets - Lucien Noel,93014; 93047,Clichy-sous-Bois; Montfermeil
QP093004,38.06666666666667,Quartier Avenir Parisien,93029,Drancy
QP093005,32.233333333333334,Quartiers La Muette - Village Parisien,93008; 93029,Bobigny; Drancy
QP093006,43.699999999999996,Quartiers Economie - Les Oiseaux,93007; 93029,Le Blanc-Mesnil; Drancy
QP093007,39.86666666666667,Thorez - Larivière - Langevin - Moulin - Allende,93030,Dugny
QP093008,51.0,La Capsulerie,93006,Bagnolet
QP093009,37.9,Le Plateau - Les Malassis - La Noue,93006; 93048,Bagnolet; Montreuil
QP093010,37.333333333333336,Les Courtillières - Pont-De-Pierre,93008; 93055,Bobigny; Pantin
QP093011,39.5,Quartier Salengro - Gaston Roulaud - Centre Ville,93008; 93029,Bobigny; Drancy
QP093012,45.9,Blanqui,93010,Bondy
QP093013,35.86666666666667,Marnaudes - Fosse Aux Bergers - La Sablière,93010; 93077,Bondy; Villemomble
QP093014,39.166666666666664,Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud,93007; 93008; 93010; 93053,Le Blanc-Mesnil; Bobigny; Bondy; Noisy-le-Sec
