unit_id,annee,traite,commune_cluster,revenu_median,taux_pauvrete,log_revenu
IRIS_372610401,2012,0,37261,16268.6666666667,25.1864939144091,9.69699624643497
IRIS_372610601,2012,0,37261,14793.0769230769,27.7155655095185,9.601914574843354
IRIS_372610602,2012,0,37261,15750.0,24.2562929061785,9.66459564425378
IRIS_372611403,2012,0,37261,15293.75,28.2477774591339,9.635199527190982
IRIS_372612001,2012,0,37261,14940.0,26.3811703170971,9.611797458686809
IRIS_381690103,2012,0,38169,16519.375,21.1507293354943,9.712289213429504
IRIS_381690105,2012,0,38169,16772.0,17.9639105844331,9.727466108290653
IRIS_381690106,2012,0,38169,16609.0,21.0069000766675,9.717699996098998
IRIS_381690107,2012,0,38169,16356.0,18.8156123822342,9.702350081484532
IRIS_381690108,2012,0,38169,14920.6666666667,28.1578947368421,9.610502555511967
IRIS_381850504,2012,0,38185,13760.8,36.0094917935535,9.529579249332182
IRIS_381850506,2012,0,38185,14571.5,33.1775700934579,9.586822845159865
IRIS_381850507,2012,0,38185,13933.6,35.4311199207136,9.542058468417576
IRIS_381850603,2012,0,38185,11510.3333333333,53.1914893617021,9.35100046162094
IRIS_381850604,2012,0,38185,11343.5,54.4441096715878,9.336400171636916
IRIS_381850605,2012,0,38185,14435.2631578947,33.2029256676306,9.57742932247431
IRIS_381850607,2012,0,38185,15577.4074074074,30.667069121642,9.653576900405039
IRIS_410180101,2012,0,41018,11703.75,51.1876671385874,9.367664582253099
IRIS_410180102,2012,0,41018,11903.8095238095,49.5736906211937,9.384613755920787
IRIS_410180301,2012,0,41018,12062.1052631579,48.6241502104241,9.397824020814
IRIS_410180302,2012,0,41018,14077.0,36.562150055991,9.552297538827965
IRIS_410180901,2012,0,41018,10872.0833333333,60.0990853658537,9.293953620751319
IRIS_422070103,2012,0,42207,15920.0,27.4156264447527,9.675331459398373
IRIS_422070104,2012,0,42207,15483.3333333333,26.4904386951631,9.647519455573873
IRIS_422070105,2012,0,42207,16694.5454545455,24.6673003802281,9.722837325564791
IRIS_422070302,2012,0,42207,14664.4,25.7327238504974,9.593178066834364
IRIS_422070303,2012,0,42207,15581.2,22.944640753828,9.65382033828156
IRIS_422180502,2012,0,42218,15078.6666666667,32.0585544373285,9.621036220323111
IRIS_422180602,2012,0,42218,12467.8260869565,45.3811659192825,9.430906692037658
IRIS_422180603,2012,0,42218,13411.1111111111,36.5394402035623,9.503838829749403
IRIS_422181001,2012,0,42218,13695.8333333333,36.155800169348,9.524846929304363
IRIS_422181301,2012,0,42218,14547.3333333333,34.4245696928788,9.585162979742963
IRIS_422181304,2012,0,42218,14444.0,33.9547677261614,9.578034382397348
IRIS_422181801,2012,0,42218,12966.25,39.0488948425988,9.470105106746038
IRIS_422181803,2012,0,42218,12685.0,42.3654015887026,9.448175472033382
IRIS_422181804,2012,0,42218,12090.4166666667,48.5467211145808,9.400168406759121
IRIS_441090202,2012,0,44109,14337.3333333333,31.6543438077634,9.570622136842305
IRIS_441090203,2012,0,44109,13070.0,40.1132609721567,9.478074806618269
IRIS_441090204,2012,0,44109,14142.4444444444,34.2667649226234,9.556935798939799
IRIS_441090804,2012,0,44109,14929.2307692308,28.623905057926,9.611076366716343
IRIS_441090905,2012,0,44109,16256.0,25.6135818416682,9.696217350378209
IRIS_441091006,2012,0,44109,12520.5,43.0150184188155,9.4351225799589
IRIS_452340102,2012,0,45234,18190.5,21.6832637327337,9.808654758764956
IRIS_452340602,2012,0,45234,13022.0,42.0829406220547,9.474395513796807
IRIS_452340604,2012,0,45234,14585.0,30.6043956043956,9.587748882301822
IRIS_452340803,2012,0,45234,15453.6,29.482551143201,9.645597264892084
IRIS_452341801,2012,0,45234,13660.4166666667,35.6466876971609,9.522257635343822
IRIS_452341901,2012,0,45234,11738.0,51.8703241895262,9.37058672111828
IRIS_452341902,2012,0,45234,12356.4,44.8983619498717,9.421929426450706
IRIS_452342001,2012,0,45234,12927.2222222222,41.6666666666667,9.467090616684827
IRIS_452342002,2012,0,45234,13222.5,36.0219068956933,9.489675202940134
IRIS_470010104,2012,0,47001,12386.9696969697,45.7862728062554,9.424400368193712
IRIS_470010108,2012,0,47001,15755.0,26.6969610905993,9.664913054191375
IRIS_470010112,2012,0,47001,16068.3870967742,24.5059288537549,9.684609086349939
IRIS_470010113,2012,0,47001,16573.0,25.1188811188811,9.715530144123544
IRIS_470010115,2012,0,47001,15441.0,27.7303988995873,9.644781588320864
IRIS_490070203,2012,0,49007,15934.0,27.6311095255084,9.676210469940312
IRIS_490070502,2012,0,49007,15932.0,30.5102305102305,9.676084944301534
IRIS_490070504,2012,0,49007,14028.9444444444,37.544036235531,9.548877934659922
IRIS_490070803,2012,0,49007,14748.5,30.8707124010554,9.598896661681433
IRIS_490070805,2012,0,49007,12052.0,48.1247679168214,9.396985900250192
IRIS_490070806,2012,0,49007,14932.0,31.8350987689665,9.611261840034475
IRIS_490071106,2012,0,49007,12547.037037037,45.0238526073367,9.437239824019295
IRIS_490071107,2012,0,49007,12320.0,46.2956971853769,9.41897923708751
IRIS_490071113,2012,0,49007,14441.3333333333,32.0022818026241,9.577849744287516
IRIS_514542101,2012,0,51454,12932.625,40.4616945712836,9.467508467402194
IRIS_514543101,2012,0,51454,14255.3333333333,33.1577687335408,9.564886384681468
IRIS_514543102,2012,0,51454,12855.0,42.2423146473779,9.46148811969999
IRIS_514543501,2012,0,51454,13674.5833333333,35.6751199451679,9.523294157599901
IRIS_514543602,2012,0,51454,14218.6956521739,39.4924053066718,9.562312972861363
IRIS_514543603,2012,0,51454,12290.2619047619,46.319018404908,9.416562512728616
IRIS_514544601,2012,0,51454,13290.0,42.052649116961,9.494767151707292
IRIS_514544602,2012,0,51454,10355.1851851852,66.3378803777545,9.245242657318755
IRIS_514544702,2012,0,51454,11242.5,54.4010168414363,9.327456518644862
IRIS_514544703,2012,0,51454,10748.7142857143,61.9196988707654,9.282541425074097
